2.48.0.0,2.51.255.255,262144,28/05/10,Emirates Telecommunications Corporation
5.30.0.0,5.31.255.255,131072,09/05/12,Emirates Integrated Telecommunications Company PJSC (EITC-DU)
5.32.0.0,5.32.127.255,32768,09/05/12,Emirates Integrated Telecommunications Company PJSC (EITC-DU)
5.38.0.0,5.38.127.255,32768,14/05/12,Emirates Telecommunications Corporation
5.107.0.0,5.107.255.255,65536,29/06/12,Emirates Telecommunications Corporation
5.192.0.0,5.195.255.255,262144,22/08/12,Emirates Telecommunications Corporation
31.29.64.0,31.29.95.255,8192,08/03/11,Higher Colleges of Technology
31.215.0.0,31.215.255.255,65536,06/05/11,Emirates Telecommunications Corporation
31.218.0.0,31.219.255.255,131072,10/05/11,Emirates Telecommunications Corporation
37.245.0.0,37.245.255.255,65536,16/04/12,Emirates Telecommunications Corporation
80.227.0.0,80.227.255.255,65536,14/12/01,Emirates Integrated Telecommunications Company PJSC (EITC-DU)
82.205.128.0,82.205.255.255,32768,17/11/03,Horizonsat FZ LLC
83.110.0.0,83.111.255.255,131072,20/01/04,Emirates Telecommunications Corporation
85.115.64.0,85.115.95.255,8192,01/03/05,Thuraya Telecommunications Private Joint-Stock Company
86.96.0.0,86.99.255.255,262144,20/04/05,Emirates Telecommunications Corporation
87.200.0.0,87.201.255.255,131072,06/06/05,Emirates Integrated Telecommunications Company PJSC (EITC-DU)
91.72.0.0,91.75.255.255,262144,15/08/06,Emirates Integrated Telecommunications Company PJSC (EITC-DU)
92.96.0.0,92.99.255.255,262144,26/09/07,Emirates Telecommunications Corporation
94.56.0.0,94.59.255.255,262144,12/06/08,Emirates Telecommunications Corporation
94.200.0.0,94.207.255.255,524288,17/07/08,Emirates Integrated Telecommunications Company PJSC (EITC-DU)
109.177.0.0,109.177.255.255,65536,07/09/12,Emirates Telecommunications Corporation
132.186.0.0,132.186.255.255,65536,24/08/09,
151.253.0.0,151.253.255.255,65536,22/08/12,Emirates Telecommunications Corporation
176.204.0.0,176.205.255.255,131072,10/08/11,Emirates Telecommunications Corporation
194.170.0.0,194.170.255.255,65536,18/09/95,Emirates Telecommunications Corporation
195.229.0.0,195.229.255.255,65536,25/11/97,Emirates Telecommunications Corporation
213.42.0.0,213.42.255.255,65536,29/09/99,Emirates Telecommunications Corporation
213.132.32.0,213.132.63.255,8192,12/10/00,Emirates Integrated Telecommunications Company PJSC (EITC-DU)
217.24.144.0,217.24.159.255,4096,20/03/03,Gulf Cyberian Trading LLC
217.164.0.0,217.165.255.255,131072,05/04/01,Emirates Telecommunications Corporation

