31.22.48.0,31.22.63.255,4096,25/03/11,Albanian Mobile Communications SH.A.
31.44.64.0,31.44.79.255,4096,24/02/11,Abissnet sh.a.
46.99.0.0,46.99.255.255,65536,08/06/10,
46.252.32.0,46.252.47.255,4096,17/12/10,4ALB shpk
77.242.16.0,77.242.31.255,4096,22/02/07,Abissnet sh.a.
79.106.0.0,79.106.255.255,65536,23/11/07,Albtelecom Sh.a.
80.78.64.0,80.78.79.255,4096,04/07/01,ABCOM Shpk
80.80.160.0,80.80.175.255,4096,17/07/01,
80.90.80.0,80.90.95.255,4096,03/06/05,ADA Holding - ADA AIR sh.p.k.
80.91.112.0,80.91.127.255,4096,09/06/05,Abissnet sh.a.
82.114.64.0,82.114.95.255,8192,22/12/03,
84.20.64.0,84.20.95.255,8192,02/09/04,Pronet sh.p.k.
91.187.96.0,91.187.127.255,8192,24/11/06,
92.60.16.0,92.60.31.255,4096,30/11/07,Abissnet sh.a.
95.107.128.0,95.107.255.255,32768,02/12/08,"Albanian Satellite Communications" sh.p.k.
109.104.128.0,109.104.159.255,8192,04/09/09,ITirana Sh.p.k.
109.236.32.0,109.236.47.255,4096,30/11/09,Abissnet sh.a.
134.0.32.0,134.0.63.255,8192,01/11/11,Agjencia Kombetare Shoqerise se Informacionit
213.207.32.0,213.207.63.255,8192,22/12/05,VIVO Communications Sh p k
217.21.144.0,217.21.159.255,4096,21/10/10,Nisatel LTD
217.24.240.0,217.24.255.255,4096,14/05/03,Albtelecom Sh.a.
217.73.128.0,217.73.143.255,4096,17/01/11,ABCOM Shpk

