5.77.128.0,5.77.255.255,32768,13/06/12,"Orange Armenia" CJSC
37.157.208.0,37.157.223.255,4096,15/03/12,Ucom LLC
37.186.64.0,37.186.127.255,16384,20/03/12,GNC-Alfa CJSC
37.252.64.0,37.252.95.255,8192,19/04/12,Ucom LLC
46.70.0.0,46.71.255.255,131072,07/07/10,"ArmenTel" CJSC
46.130.0.0,46.130.255.255,65536,06/10/10,K-Telecom CJSC
46.162.192.0,46.162.255.255,16384,29/11/10,Ucom LLC
46.241.128.0,46.241.255.255,32768,23/12/10,"Orange Armenia" CJSC
62.89.0.0,62.89.31.255,8192,14/12/04,GNC-Alfa CJSC
78.109.64.0,78.109.79.255,4096,04/07/07,GNC-Alfa CJSC
80.86.224.0,80.86.239.255,4096,21/08/01,Netsys JV LLC
81.16.0.0,81.16.15.255,4096,18/12/08,Icon Communications CJSC
81.89.208.0,81.89.223.255,4096,18/04/06,Crossnet LLC
82.199.192.0,82.199.223.255,8192,10/09/12,Ucom LLC
83.139.0.0,83.139.63.255,16384,18/08/04,K-Telecom CJSC
87.241.128.0,87.241.191.255,16384,07/07/05,"ArmenTel" CJSC
89.249.192.0,89.249.207.255,4096,20/11/06,WEB Ltd
93.185.32.0,93.185.47.255,4096,05/06/08,GNC-Alfa CJSC
94.228.16.0,94.228.31.255,4096,23/09/08,Pimox LLC
95.140.192.0,95.140.207.255,4096,20/03/09,Armenian Datacom Company
109.75.32.0,109.75.47.255,4096,17/11/09,Icon Communications CJSC
141.136.64.0,141.136.95.255,8192,29/06/11,Ucom LLC
178.72.128.0,178.72.191.255,16384,10/03/10,Pimox LLC
178.78.128.0,178.78.191.255,16384,27/04/10,"Orange Armenia" CJSC
178.160.128.0,178.160.255.255,32768,22/01/10,"ArmenTel" CJSC
178.219.48.0,178.219.63.255,4096,21/05/10,
188.115.192.0,188.115.255.255,16384,25/05/09,"Orange Armenia" CJSC
195.250.64.0,195.250.95.255,8192,10/03/97,ARMINCO LIMITED LIABILITY COMPANY
212.34.224.0,212.34.255.255,8192,23/04/09,Ucom LLC
212.42.192.0,212.42.223.255,8192,21/08/98,WEB Ltd
212.73.64.0,212.73.95.255,8192,01/02/99,"ArmenTel" CJSC
217.63.96.0,217.63.127.255,8192,16/06/08,WEB Ltd
217.76.0.0,217.76.15.255,4096,01/05/09,K-Telecom CJSC
217.113.0.0,217.113.15.255,4096,12/01/01,WEB Ltd
217.113.16.0,217.113.31.255,4096,24/06/02,WEB Ltd

