41.63.160.0,41.63.191.255,8192,01/12/10,
41.70.128.0,41.70.255.255,32768,04/06/10,
41.72.0.0,41.72.63.255,16384,05/11/09,
41.74.240.0,41.74.255.255,4096,30/09/10,
41.205.32.0,41.205.63.255,8192,27/09/06,
41.210.192.0,41.210.255.255,16384,10/07/07,
41.221.240.0,41.221.255.255,4096,23/01/07,
105.168.0.0,105.175.255.255,524288,13/12/12,
154.0.64.0,154.0.127.255,16384,18/07/13,
154.65.128.0,154.65.255.255,32768,02/10/13,
154.116.128.0,154.116.255.255,32768,26/08/14,
154.118.192.0,154.118.223.255,8192,31/12/14,
154.127.128.0,154.127.255.255,32768,26/02/14,
160.224.0.0,160.225.255.255,131072,28/08/14,
196.29.192.0,196.29.207.255,4096,24/07/00,
197.148.0.0,197.148.63.255,16384,02/07/12,
197.216.0.0,197.217.255.255,131072,24/02/12,
197.241.128.0,197.241.255.255,32768,08/05/12,

