5.132.128.0,5.132.191.255,16384,02/07/12,interneX GmbH
5.198.144.0,5.198.159.255,4096,27/08/12,interneX GmbH
31.5.0.0,31.5.255.255,65536,08/04/11,UPC Austria GmbH
37.143.176.0,37.143.191.255,4096,05/03/12,Citycom Telekommunikation GmbH
37.186.0.0,37.186.63.255,16384,20/03/12,ASCUS Telecom GmbH
37.252.224.0,37.252.255.255,8192,23/04/12,ANEXIA Internetdienstleistungs GmbH
46.20.16.0,46.20.31.255,4096,17/08/10,KT-NET Communications GmbH
46.57.0.0,46.57.127.255,32768,07/10/10,Hutchison Drei Austria GmbH
46.74.0.0,46.75.255.255,131072,28/07/10,A1 Telekom Austria AG
46.124.0.0,46.125.255.255,131072,31/05/10,T-Mobile Austria GmbH
46.206.0.0,46.207.255.255,131072,27/12/10,A1 Telekom Austria AG
46.220.0.0,46.220.255.255,65536,20/01/11,Hutchison Drei Austria GmbH
62.13.192.0,62.13.223.255,8192,04/07/00,CPSNET Internet Providing
62.40.128.0,62.40.255.255,32768,09/05/00,kabelplus GmbH
62.46.0.0,62.47.255.255,131072,30/05/00,A1 Telekom Austria AG
62.68.192.0,62.68.223.255,8192,12/02/09,mieX GmbH
62.93.64.0,62.93.127.255,16384,12/04/07,JM-DATA GmbH
62.99.128.0,62.99.255.255,32768,30/07/01,UPC Austria GmbH
62.116.0.0,62.116.31.255,8192,30/07/97,Tele2 Telecommunication GmbH
62.116.32.0,62.116.63.255,8192,16/11/99,A1 Telekom Austria AG
62.116.64.0,62.116.95.255,8192,16/11/99,Tele2 Telecommunication GmbH
62.116.96.0,62.116.127.255,8192,23/04/01,Tele2 Telecommunication GmbH
62.140.32.0,62.140.63.255,8192,15/05/00,T-Mobile Austria GmbH
62.178.0.0,62.179.255.255,131072,18/09/00,UPC Austria GmbH
62.212.160.0,62.212.191.255,8192,14/05/03,WVNET Information und Kommunikation GmbH
62.218.0.0,62.218.255.255,65536,25/10/00,Tele2 Telecommunication GmbH
62.249.64.0,62.249.127.255,16384,29/11/01,EWW ITandTEL GmbH
77.80.0.0,77.80.127.255,32768,19/08/09,
77.116.0.0,77.119.255.255,262144,10/01/07,Hutchison Drei Austria GmbH
77.220.96.0,77.220.127.255,8192,20/03/07,ASCUS Telecom GmbH
77.235.64.0,77.235.95.255,8192,17/01/07,styrion Internet und eBusiness Services GmbH
77.237.32.0,77.237.63.255,8192,31/01/07,Crosat Austria GmbH
77.242.64.0,77.242.79.255,4096,27/02/07,Infotech EDV-Systeme GmbH
77.244.240.0,77.244.255.255,4096,10/04/07,Nessus GmbH
78.104.0.0,78.104.255.255,65536,07/06/07,ACONET
78.132.0.0,78.132.127.255,32768,30/05/07,T-Mobile Austria GmbH
78.142.64.0,78.142.127.255,16384,31/07/07,ASCUS Telecom GmbH
78.142.128.0,78.142.191.255,16384,08/08/07,Tele2 Telecommunication GmbH
78.152.64.0,78.152.95.255,8192,11/06/07,Ainet Telekommunikations-Netzwerk Betriebs GmbH
79.143.48.0,79.143.63.255,4096,20/11/07,4XS IT Business Solutions LTD.
79.174.96.0,79.174.127.255,8192,16/06/08,
80.66.32.0,80.66.47.255,4096,16/05/01,LinzNet Internet Service Provider GmbH
80.66.48.0,80.66.63.255,4096,01/03/04,LinzNet Internet Service Provider GmbH
80.73.240.0,80.73.255.255,4096,07/02/05,SPEEDNIC S.R.L.
80.75.32.0,80.75.47.255,4096,20/06/01,A1 Telekom Austria AG
80.75.48.0,80.75.63.255,4096,17/12/03,A1 Telekom Austria AG
80.75.240.0,80.75.255.255,4096,18/02/05,Otto M. Steinmann e.U.
80.80.240.0,80.80.255.255,4096,04/04/05,Stadtwerke Klagenfurt AG
80.81.128.0,80.81.143.255,4096,20/07/01,lemon42 IT, Web und Software AG
80.89.96.0,80.89.111.255,4096,30/08/01,A1 Telekom Austria AG
80.92.112.0,80.92.127.255,4096,23/06/05,Stadtwerke Hall in Tirol GmbH
80.93.32.0,80.93.47.255,4096,25/06/09,Stadtwerke Kufstein GmbH
80.108.0.0,80.109.255.255,131072,19/07/01,UPC Austria GmbH
80.110.0.0,80.111.255.255,131072,19/07/01,UPC Austria GmbH
80.120.0.0,80.123.255.255,262144,12/09/01,A1 Telekom Austria AG
80.240.224.0,80.240.239.255,4096,11/10/01,A1 Telekom Austria AG
80.241.16.0,80.241.31.255,4096,25/08/05,UPC Austria GmbH
80.243.160.0,80.243.175.255,4096,30/10/01,Elektrizitatswerk Wels AG
80.245.192.0,80.245.207.255,4096,06/11/01,Empirion Telekommunikations Services GmbH
80.252.32.0,80.252.47.255,4096,07/12/01,ONSTAGE-Online
81.3.192.0,81.3.255.255,16384,22/04/02,Hutchison Drei Austria GmbH
81.5.192.0,81.5.255.255,16384,06/06/02,A1 Telekom Austria AG
81.10.128.0,81.10.255.255,32768,16/04/02,LIWEST Kabelfernsehen Errichtungs- und Betriebs Ges.m.b.H.
81.16.32.0,81.16.47.255,4096,02/01/02,Streams Telecommunicationsservices GmbH
81.16.144.0,81.16.159.255,4096,23/02/05,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH
81.19.144.0,81.19.159.255,4096,18/11/05,World4You Internet Services GmbH
81.21.112.0,81.21.127.255,4096,13/01/06,Stadtwerke Muerzzuschlag GmbH
81.24.144.0,81.24.159.255,4096,21/02/06,ASCUS Telecom GmbH
81.25.208.0,81.25.223.255,4096,01/03/06,ASFINAG
81.28.128.0,81.28.143.255,4096,18/04/02,Stadtwerke Kapfenberg
81.31.128.0,81.31.143.255,4096,31/05/02,Backbone Internet Services GMBH
81.94.48.0,81.94.63.255,4096,12/05/06,ASCUS Telecom GmbH
81.189.0.0,81.189.255.255,65536,24/02/03,Tele2 Telecommunication GmbH
81.217.0.0,81.217.255.255,65536,17/10/02,kabelplus GmbH
81.223.0.0,81.223.255.255,65536,02/12/02,UPC Austria GmbH
82.103.0.0,82.103.63.255,16384,08/01/04,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH
82.149.96.0,82.149.127.255,8192,05/08/03,kabelplus GmbH
82.150.192.0,82.150.223.255,8192,27/08/03,hotze.com GmbH
82.192.0.0,82.192.31.255,8192,17/09/03,JM-DATA GmbH
82.194.128.0,82.194.159.255,8192,20/10/03,SALZBURG AG fur Energie, Verkehr und Telekommunikation
82.218.0.0,82.218.255.255,65536,17/11/03,kabelplus GmbH
83.64.0.0,83.65.255.255,131072,02/12/03,UPC Austria GmbH
83.68.128.0,83.68.159.255,8192,14/05/04,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH
83.164.0.0,83.164.255.255,65536,26/03/04,lagis Internet Service Provider GmbH
83.175.64.0,83.175.127.255,16384,28/05/04,Innsbrucker Kommunalbetriebe AG
83.215.0.0,83.215.255.255,65536,26/03/04,SALZBURG AG fur Energie, Verkehr und Telekommunikation
83.216.192.0,83.216.207.255,4096,26/02/04,NETPLANET GmbH
83.216.208.0,83.216.223.255,4096,26/02/04,AZISTA GmbH
83.218.160.0,83.218.191.255,8192,17/03/04,myNet Internet Solutions
83.219.160.0,83.219.191.255,8192,23/03/04,Stadtwerke Woergl GmbH
84.20.160.0,84.20.191.255,8192,03/09/04,A1 Telekom Austria AG
84.38.112.0,84.38.127.255,4096,23/05/06,
84.112.0.0,84.119.255.255,524288,07/04/04,UPC Austria GmbH
