5.43.64.0,5.43.127.255,16384,18/05/12,Telemach d.o.o. Sarajevo
5.133.128.0,5.133.159.255,8192,04/07/12,HT d.o.o. Mostar
5.149.64.0,5.149.95.255,8192,16/07/12,"AVAX NET" doo za telekomunikacije, racunarski inzenjering, konsalting i promet Lukavac
31.47.0.0,31.47.31.255,8192,21/03/11,TXTV d.o.o. Tuzla
31.176.128.0,31.176.255.255,32768,08/03/11,BH Telecom d.d. Sarajevo
31.185.112.0,31.185.127.255,4096,16/03/11,Privredno trgovacko drustvo Velnet d.o.o Mostar
31.223.128.0,31.223.159.255,8192,16/05/11,Telekom Srpske
31.223.208.0,31.223.223.255,4096,17/05/11,Blicnet d.o.o.
37.8.128.0,37.8.143.255,4096,13/12/11,HT d.o.o. Mostar
37.203.64.0,37.203.127.255,16384,26/03/12,BH Telecom d.d. Sarajevo
46.35.128.0,46.35.159.255,8192,19/10/10,HT d.o.o. Mostar
46.36.160.0,46.36.191.255,8192,29/10/10,Logosoft , information engineering and Internet providing
46.239.0.0,46.239.63.255,16384,09/02/11,Telekom Srpske
62.68.96.0,62.68.127.255,8192,02/07/08,ELTA KABEL d.o.o.
62.101.128.0,62.101.159.255,8192,23/04/10,DASTO semtel d.o.o.
62.113.0.0,62.113.31.255,8192,01/10/08,HT d.o.o. Mostar
77.77.192.0,77.77.255.255,16384,27/02/07,Telemach d.o.o. Sarajevo
77.78.192.0,77.78.255.255,16384,09/03/07,Telemach d.o.o. Sarajevo
77.221.0.0,77.221.31.255,8192,27/03/07,Telemach d.o.o. Sarajevo
77.238.192.0,77.238.223.255,8192,16/02/07,Kablovska Televizija HS d.o.o Sarajevo
77.239.0.0,77.239.31.255,8192,22/02/07,Telemach d.o.o. Sarajevo
77.239.64.0,77.239.95.255,8192,07/03/07,Telrad doo
78.28.128.0,78.28.191.255,16384,19/09/07,SARNET
79.142.0.0,79.142.15.255,4096,29/10/07,Logosoft , information engineering and Internet providing
79.143.160.0,79.143.175.255,4096,26/11/07,ELTA KABEL d.o.o.
80.65.64.0,80.65.79.255,4096,14/05/01,BH Telecom d.d. Sarajevo
80.65.80.0,80.65.95.255,4096,23/05/03,BH Telecom d.d. Sarajevo
80.65.160.0,80.65.175.255,4096,15/05/01,europroNET Bosnia d.o.o.
80.71.144.0,80.71.159.255,4096,13/01/05,Pincom d.o.o.
80.80.32.0,80.80.47.255,4096,22/09/10,Kablovska Televizija HS d.o.o Sarajevo
80.87.240.0,80.87.255.255,4096,24/05/05,Lanaco d.o.o. za Informacione Tehnologije Banja Luka
80.242.112.0,80.242.127.255,4096,07/09/05,Blicnet d.o.o.
81.93.64.0,81.93.79.255,4096,07/08/02,Telekom Srpske
81.93.80.0,81.93.95.255,4096,09/12/02,Telekom Srpske
81.94.0.0,81.94.15.255,4096,09/08/02,Poste Srpske a.d.
82.118.0.0,82.118.15.255,4096,26/08/11,MISS.NET d.o.o.
85.92.224.0,85.92.255.255,8192,07/12/04,BH Telecom d.d. Sarajevo
85.94.128.0,85.94.159.255,8192,31/12/04,HT d.o.o. Mostar
87.250.96.0,87.250.127.255,8192,06/09/05,DASTO semtel d.o.o.
89.111.192.0,89.111.255.255,16384,28/04/06,Telekom Srpske
89.146.128.0,89.146.191.255,16384,07/02/06,BH Telecom d.d. Sarajevo
91.191.0.0,91.191.63.255,16384,11/01/07,DASTO semtel d.o.o.
92.36.128.0,92.36.255.255,32768,10/01/08,BH Telecom d.d. Sarajevo
