24.51.64.0,24.51.127.255,16384,20/07/10,
24.206.0.0,24.206.31.255,8192,01/09/09,
24.231.32.0,24.231.63.255,8192,04/04/03,
24.244.128.0,24.244.191.255,16384,22/03/00,
64.66.0.0,64.66.15.255,4096,04/03/10,
64.150.192.0,64.150.255.255,16384,06/09/06,
65.75.64.0,65.75.127.255,16384,09/01/04,
66.226.160.0,66.226.191.255,8192,06/05/03,
69.4.160.0,69.4.175.255,4096,12/11/02,
104.166.32.0,104.166.47.255,4096,12/08/14,
108.60.224.0,108.60.255.255,8192,22/12/10,
204.236.64.0,204.236.127.255,16384,22/06/09,
216.137.0.0,216.137.15.255,4096,26/09/06,

