5.100.192.0,5.100.223.255,8192,26/06/12,"BeST" CJSC
37.17.0.0,37.17.127.255,32768,19/12/11,FE VELCOM
37.44.64.0,37.44.127.255,16384,06/01/12,Republican Unitary Telecommunication Enterprise Beltelecom
37.45.0.0,37.45.255.255,65536,06/01/12,Republican Unitary Telecommunication Enterprise Beltelecom
37.212.0.0,37.215.255.255,262144,30/03/12,Republican Unitary Telecommunication Enterprise Beltelecom
46.53.128.0,46.53.255.255,32768,24/08/10,FE "ALTERNATIVNAYA ZIFROVAYA SET"
46.56.0.0,46.56.127.255,32768,04/10/10,Mobile TeleSystems JLLC
46.56.128.0,46.56.255.255,32768,06/10/10,FE VELCOM
46.191.0.0,46.191.127.255,32768,14/12/10,"BeST" CJSC
46.216.0.0,46.216.255.255,65536,29/12/10,Mobile TeleSystems JLLC
77.67.128.0,77.67.191.255,16384,05/02/07,"BeST" CJSC
77.67.192.0,77.67.255.255,16384,05/02/07,"BeST" CJSC
80.94.160.0,80.94.175.255,4096,03/10/01,State Scientific Enterprise 'United Institute of Informatics Problems of National Academy of Sciences of Belarus' (UIIP NASB)
80.94.224.0,80.94.239.255,4096,04/10/01,IP TelCom
80.249.80.0,80.249.95.255,4096,15/10/08,Business Network JV
81.25.32.0,81.25.47.255,4096,20/03/02,Belinfonet Ltd.
81.30.80.0,81.30.95.255,4096,03/04/06,"BeST" CJSC
82.209.192.0,82.209.255.255,16384,01/10/03,Republican Unitary Telecommunication Enterprise Beltelecom
84.201.224.0,84.201.239.255,4096,14/01/05,
86.57.128.0,86.57.255.255,32768,22/04/05,Republican Unitary Telecommunication Enterprise Beltelecom
87.252.224.0,87.252.255.255,8192,26/09/05,Mobile Service Ltd.
91.149.128.0,91.149.191.255,16384,16/11/06,Mobile Service Ltd.
91.187.0.0,91.187.31.255,8192,14/11/06,Belinfonet Ltd.
93.84.0.0,93.85.255.255,131072,13/02/08,Republican Unitary Telecommunication Enterprise Beltelecom
93.125.0.0,93.125.127.255,32768,15/04/08,Mobile Service Ltd.
109.126.128.0,109.126.191.255,16384,19/11/09,"BeST" CJSC
128.65.0.0,128.65.63.255,16384,06/10/11,FE VELCOM
128.140.240.0,128.140.255.255,4096,12/10/11,FE VELCOM
134.17.0.0,134.17.255.255,65536,03/11/11,Mobile TeleSystems JLLC
164.177.192.0,164.177.255.255,16384,21/11/11,"BeST" CJSC
176.60.0.0,176.60.255.255,65536,06/06/11,Mobile TeleSystems JLLC
178.120.0.0,178.127.255.255,524288,10/12/09,Republican Unitary Telecommunication Enterprise Beltelecom
178.154.0.0,178.154.127.255,32768,04/05/10,"BeST" CJSC
178.159.240.0,178.159.255.255,4096,18/10/10,
178.163.128.0,178.163.255.255,32768,08/02/10,FE VELCOM
178.168.128.0,178.168.255.255,32768,25/03/10,Mobile TeleSystems JLLC
178.172.128.0,178.172.255.255,32768,12/04/10,Mobile Service Ltd.
194.158.192.0,194.158.223.255,8192,28/07/98,Republican Unitary Telecommunication Enterprise Beltelecom
195.50.0.0,195.50.31.255,8192,06/08/96,Institution Central Information and Analytical Center at the Ministry of Education of Belarus
195.222.64.0,195.222.95.255,8192,04/03/97,FE "ALTERNATIVNAYA ZIFROVAYA SET"
212.98.160.0,212.98.191.255,8192,17/09/99,Business Network JV
213.184.224.0,213.184.255.255,8192,17/03/03,Mobile Service Ltd.
217.21.32.0,217.21.47.255,4096,26/09/00,Mobile Service Ltd.
217.21.48.0,217.21.63.255,4096,13/06/01,Mobile Service Ltd.
217.23.112.0,217.23.127.255,4096,03/03/03,JSC GLOBALONEBEL

