5.44.112.0,5.44.127.255,4096,23/05/12,Quickline AG
5.144.0.0,5.144.31.255,8192,11/07/12,Gemeinschaftsantennen-Anlage Region Grenchen AG
5.145.0.0,5.145.31.255,8192,12/07/12,Renet AG
5.145.32.0,5.145.63.255,8192,12/07/12,Valaiscom AG
5.145.64.0,5.145.95.255,8192,12/07/12,ggsnet schwaengimatt genossenschaft
5.148.160.0,5.148.191.255,8192,13/07/12,Nine Internet Solutions AG
5.149.16.0,5.149.31.255,4096,16/07/12,Gemeindebetriebe Muri
5.149.32.0,5.149.63.255,8192,16/07/12,Localnet AG
5.153.112.0,5.153.127.255,4096,23/07/12,Energie Belp AG
5.172.128.0,5.172.143.255,4096,30/07/12,EWK Herzogenbuchsee AG
31.10.128.0,31.10.255.255,32768,14/04/11,UPC Cablecom GmbH
31.11.0.0,31.11.31.255,8192,14/04/11,ImproWare AG
31.31.48.0,31.31.63.255,4096,17/03/11,netplus.ch SA
31.44.32.0,31.44.47.255,4096,24/02/11,Swiss Engineering Laboratories SA
31.130.224.0,31.130.239.255,4096,10/05/11,
31.133.128.0,31.133.191.255,16384,10/05/11,
31.164.0.0,31.165.255.255,131072,23/02/11,Sunrise Communications AG
31.171.240.0,31.171.255.255,4096,04/04/11,CLOUDSIGMA AG
37.0.32.0,37.0.63.255,8192,08/12/11,Canal Saturne S.A.
37.153.96.0,37.153.127.255,8192,13/03/12,
37.209.176.0,37.209.191.255,4096,30/03/12,GIB-Solutions AG
37.252.128.0,37.252.159.255,8192,19/04/12,Neocarrier Communications Sarl
46.14.0.0,46.14.255.255,65536,28/09/10,Swisscom (Schweiz) AG
46.20.240.0,46.20.255.255,4096,19/10/10,IP-Max SA
46.22.16.0,46.22.31.255,4096,19/11/10,Arcade Solutions AG
46.126.0.0,46.127.255.255,131072,01/06/10,UPC Cablecom GmbH
46.140.0.0,46.140.255.255,65536,19/11/10,UPC Cablecom GmbH
46.149.192.0,46.149.207.255,4096,06/01/11,
46.253.176.0,46.253.191.255,4096,17/01/11,Monzoon Networks AG
62.2.0.0,62.2.255.255,65536,11/12/98,UPC Cablecom GmbH
62.12.128.0,62.12.255.255,32768,10/04/00,Cyberlink AG
62.32.0.0,62.32.31.255,8192,01/05/97,mhs internet AG
62.48.0.0,62.48.31.255,8192,01/05/97,Internet Business Solutions AG
62.48.96.0,62.48.127.255,8192,25/07/01,Ticinocom SA
62.65.128.0,62.65.159.255,8192,24/07/00,Netstream AG
62.108.128.0,62.108.159.255,8192,23/06/00,CNET Europe S.A.
62.121.192.0,62.121.255.255,16384,18/11/02,META10 AG
62.167.0.0,62.167.255.255,65536,31/12/01,Sunrise Communications AG
62.192.0.0,62.192.31.255,8192,04/07/06,
62.202.0.0,62.203.255.255,131072,18/10/00,Swisscom (Schweiz) AG
62.204.96.0,62.204.127.255,8192,01/10/01,Quickline AG
62.220.128.0,62.220.159.255,8192,27/06/00,Saitis Network, N.Desir
62.240.192.0,62.240.223.255,8192,03/07/00,Zuercher Kantonalbank
62.245.0.0,62.245.31.255,8192,21/07/00,Nicolas Notari
77.56.0.0,77.59.255.255,262144,19/10/06,UPC Cablecom GmbH
77.109.128.0,77.109.191.255,16384,19/01/07,Init7 (Switzerland) Ltd.
77.237.192.0,77.237.223.255,8192,07/02/07,TON Total optical Networks AG
77.239.32.0,77.239.63.255,8192,01/03/07,GA Weissenstein GmbH
77.244.48.0,77.244.63.255,4096,22/03/07,iSource ag
77.245.16.0,77.245.31.255,4096,10/04/07,nexellent ag
77.245.176.0,77.245.191.255,4096,27/04/07,Stadtantennen AG
77.246.128.0,77.246.143.255,4096,21/05/07,CITCO TECHNOLOGY MANAGEMENT (SWITZERLAND) SA
78.110.128.0,78.110.143.255,4096,13/08/07,educa.ch Schweizer Medieninstitut fur Bildung und Kultur Co-op.
78.155.0.0,78.155.31.255,8192,24/07/07,netplus.ch SA
79.141.80.0,79.141.95.255,4096,18/10/07,NTD SA
79.142.128.0,79.142.143.255,4096,09/11/07,mhs internet AG
80.67.144.0,80.67.159.255,4096,15/07/04,TurnKey Services AG
80.74.128.0,80.74.143.255,4096,19/06/01,METANET AG
80.74.144.0,80.74.159.255,4096,09/11/04,METANET AG
80.75.112.0,80.75.127.255,4096,14/02/05,Antares Kommunikationstechnik AG
80.75.192.0,80.75.207.255,4096,21/06/01,ABB Schweiz AG
80.76.0.0,80.76.15.255,4096,22/06/01,OpenOffice InternetService
80.80.224.0,80.80.239.255,4096,19/07/01,Safe Host SA
80.83.32.0,80.83.47.255,4096,30/07/01,Video 2000 S.A.
80.83.48.0,80.83.63.255,4096,10/06/02,Video 2000 S.A.
80.86.192.0,80.86.207.255,4096,21/08/01,green.ch AG
80.89.208.0,80.89.223.255,4096,01/06/05,deep AG
80.94.144.0,80.94.159.255,4096,03/08/05,International Committee of the Red Cross (ICRC)
80.218.0.0,80.219.255.255,131072,04/04/02,UPC Cablecom GmbH
