2.160.0.0,2.175.255.255,1048576,28/09/10,Telekom Deutschland GmbH
2.200.0.0,2.207.255.255,524288,18/11/10,Vodafone GmbH
2.208.0.0,2.215.255.255,524288,18/11/10,E-Plus Mobilfunk GmbH
2.240.0.0,2.247.255.255,524288,13/12/10,Telefonica Germany GmbH & Co.OHG
5.1.64.0,5.1.95.255,8192,25/04/12,meerfarbig GmbH & Co. KG
5.1.128.0,5.1.255.255,32768,25/04/12,E-Plus Mobilfunk GmbH
5.4.0.0,5.7.255.255,262144,25/04/12,E-Plus Mobilfunk GmbH
5.9.0.0,5.9.255.255,65536,25/04/12,Hetzner Online AG
5.10.48.0,5.10.63.255,4096,26/07/12,Kabel BW GmbH
5.10.160.0,5.10.191.255,8192,01/05/12,Unitymedia NRW GmbH
5.10.208.0,5.10.223.255,4096,01/05/12,EFN eifel-net Internet-Provider GmbH
5.28.64.0,5.28.127.255,16384,08/05/12,Tele Columbus AG
5.28.192.0,5.28.255.255,16384,08/05/12,IPFFM - Internet Provider Frankfurt GmbH
5.35.224.0,5.35.255.255,8192,15/05/12,Host Europe GmbH
5.44.96.0,5.44.111.255,4096,23/05/12,Alvotech GmbH
5.45.96.0,5.45.111.255,4096,24/05/12,netcup GmbH
5.56.176.0,5.56.191.255,4096,31/05/12,Kabel BW GmbH
5.56.192.0,5.56.255.255,16384,31/05/12,Kabel BW GmbH
5.61.128.0,5.61.191.255,16384,07/06/12,TELE AG
5.62.96.0,5.62.127.255,8192,08/06/12,marbis GmbH
5.83.128.0,5.83.191.255,16384,15/06/12,Daniel Stahl trading as DS Computer Service
5.100.0.0,5.100.63.255,16384,25/06/12,suec // dacor GmbH
5.100.128.0,5.100.143.255,4096,25/06/12,inexio Informationstechnologie und Telekommunikation KGaA
5.145.128.0,5.145.143.255,4096,13/07/12,RelAix Networks GmbH
5.146.0.0,5.147.255.255,131072,13/07/12,Unitymedia NRW GmbH
5.149.224.0,5.149.239.255,4096,17/07/12,DegNet GmbH
5.158.128.0,5.158.191.255,16384,26/07/12,Kabel BW GmbH
5.159.64.0,5.159.95.255,8192,27/07/12,terralink networks GmbH
5.175.0.0,5.175.31.255,8192,01/08/12,Host Europe GmbH
5.175.128.0,5.175.255.255,32768,02/08/12,GHOSTnet GmbH
5.189.128.0,5.189.159.255,8192,09/08/12,Contabo GmbH
5.189.160.0,5.189.191.255,8192,09/08/12,Contabo GmbH
5.199.128.0,5.199.143.255,4096,28/08/12,myLoc managed IT AG
5.199.240.0,5.199.255.255,4096,29/08/12,RelAix Networks GmbH
