2.136.0.0,2.143.255.255,524288,05/11/10,TELEFONICA DE ESPANA
2.152.0.0,2.155.255.255,262144,03/11/10,Cableuropa S.A.U.
5.34.128.0,5.34.159.255,8192,11/05/12,Wimax On Line, S.L.
5.40.0.0,5.40.255.255,65536,15/05/12,Cableuropa S.A.U.
5.45.160.0,5.45.175.255,4096,25/05/12,Segura Wireless SL
5.83.64.0,5.83.95.255,8192,14/06/12,Onlycable Comunicaciones S.L.
5.134.32.0,5.134.47.255,4096,06/07/12,DISENADORES INFORMATICOS Y TECNOLOGICOS, S.L.
5.154.0.0,5.154.127.255,32768,19/07/12,ServiHosting Networks S.L.
5.159.128.0,5.159.191.255,16384,27/07/12,R Cable y Telecomunicaciones Galicia, S.A.
5.205.0.0,5.205.255.255,65536,31/08/12,TELEFONICA DE ESPANA
5.224.0.0,5.225.255.255,131072,06/09/12,VODAFONE ESPANA S.A.U.
5.226.16.0,5.226.31.255,4096,07/09/12,VELEVI S.A.
31.4.0.0,31.4.255.255,65536,07/04/11,VODAFONE ESPANA S.A.U.
31.44.144.0,31.44.159.255,4096,02/03/11,Concisa, Comunicacion, Marketing y Servicios S.L.
31.214.176.0,31.214.191.255,4096,06/05/11,Soluciones Corporativas IP, SL
31.220.80.0,31.220.95.255,4096,10/05/11,Orange Web Services S.L.
31.221.128.0,31.221.255.255,32768,12/05/11,XFERA Moviles S.A.
31.222.80.0,31.222.95.255,4096,13/05/11,XTRA TELECOM S.A.
31.222.96.0,31.222.127.255,8192,13/05/11,Concisa, Comunicacion, Marketing y Servicios S.L.
37.10.128.0,37.10.255.255,32768,16/12/11,TELEFONICA DE ESPANA
37.11.0.0,37.11.255.255,65536,16/12/11,Jazz Telecom S.A.
37.12.0.0,37.13.255.255,131072,16/12/11,TELEFONICA DE ESPANA
37.14.0.0,37.15.255.255,131072,16/12/11,Jazz Telecom S.A.
37.29.128.0,37.29.255.255,32768,30/12/11,XFERA Moviles S.A.
37.35.128.0,37.35.255.255,32768,05/01/12,Jazz Telecom S.A.
37.61.144.0,37.61.159.255,4096,20/01/12,PROCONO S.A.
37.72.0.0,37.72.31.255,8192,26/01/12,ServiHosting Networks S.L.
37.132.0.0,37.135.255.255,262144,21/02/12,Jazz Telecom S.A.
37.152.128.0,37.152.159.255,8192,12/03/12,OLE COMUNICACION S.L.
37.158.0.0,37.158.255.255,65536,16/03/12,TELEFONICA DE ESPANA
37.218.0.0,37.218.127.255,32768,30/03/12,Euskaltel S.A.
37.222.0.0,37.223.255.255,131072,05/04/12,VODAFONE ESPANA S.A.U.
37.230.64.0,37.230.95.255,8192,11/04/12,ServiHosting Networks S.L.
46.6.0.0,46.6.255.255,65536,03/09/10,XFERA Moviles S.A.
46.24.0.0,46.27.255.255,262144,16/07/10,VODAFONE ESPANA S.A.U.
46.34.32.0,46.34.63.255,8192,17/09/10,Esystel Servicios Multimedia, SL
46.34.64.0,46.34.95.255,8192,20/09/10,NAP de Las Americas-Madrid, S.A.
46.35.96.0,46.35.127.255,8192,13/10/10,Cablemel S.L.
46.37.64.0,46.37.95.255,8192,11/11/10,PROCONO S.A.
46.37.96.0,46.37.127.255,8192,17/11/10,Foster Global Telecommunications S.L
46.39.192.0,46.39.223.255,8192,16/12/10,Innovaciones Tecnlogicas del Sur S.L.
46.136.0.0,46.136.255.255,65536,16/11/10,VODAFONE ESPANA S.A.U.
46.222.0.0,46.222.255.255,65536,26/01/11,XFERA Moviles S.A.
46.234.128.0,46.234.159.255,8192,10/02/11,Electrovideo Utrera S.A.
46.253.32.0,46.253.47.255,4096,31/12/10,Corporacio Megatel S.L.
46.253.224.0,46.253.239.255,4096,25/01/11,TVB TELEDISTRIBUCION S.L.
62.13.224.0,62.13.255.255,8192,18/01/02,Mundivia S.A.
62.14.0.0,62.14.255.255,65536,02/12/99,Jazz Telecom S.A.
62.15.0.0,62.15.255.255,65536,20/07/00,Jazz Telecom S.A.
62.22.0.0,62.22.31.255,8192,29/06/99,Verizon Spain SL
62.22.32.0,62.22.63.255,8192,17/01/00,Verizon Spain SL
62.22.64.0,62.22.127.255,16384,17/01/00,Verizon Spain SL
62.22.128.0,62.22.255.255,32768,08/02/01,Verizon Spain SL
62.32.128.0,62.32.255.255,32768,31/01/08,France Telecom Espana SA
62.36.0.0,62.36.255.255,65536,18/06/99,France Telecom Espana SA
62.37.0.0,62.37.255.255,65536,03/01/00,France Telecom Espana SA
62.42.0.0,62.42.255.255,65536,03/05/00,Cableuropa S.A.U.
62.43.0.0,62.43.255.255,65536,06/11/00,Cableuropa S.A.U.
62.57.0.0,62.57.255.255,65536,13/10/00,Cableuropa S.A.U.
62.81.0.0,62.81.255.255,65536,30/03/98,Cableuropa S.A.U.
62.82.0.0,62.82.255.255,65536,04/05/99,Cableuropa S.A.U.
62.83.0.0,62.83.255.255,65536,11/02/00,Cableuropa S.A.U.
62.87.0.0,62.87.127.255,32768,29/05/01,VODAFONE ESPANA S.A.U.
62.93.160.0,62.93.191.255,8192,21/02/02,Easynet Espania, SA
62.97.64.0,62.97.127.255,16384,16/07/01,
62.97.128.0,62.97.159.255,8192,26/07/00,PROSODIE IBERICA SL
62.99.0.0,62.99.127.255,32768,18/06/01,Euskaltel S.A.
62.100.96.0,62.100.127.255,8192,31/10/01,Cableuropa S.A.U.
62.101.160.0,62.101.191.255,8192,27/02/02,Cableuropa S.A.U.
62.117.128.0,62.117.159.255,8192,27/07/00,Cableuropa S.A.U.
62.117.160.0,62.117.191.255,8192,31/10/00,Cableuropa S.A.U.
62.117.192.0,62.117.255.255,16384,31/10/00,Cableuropa S.A.U.
62.151.0.0,62.151.127.255,32768,21/11/00,France Telecom Espana S.A
62.151.128.0,62.151.159.255,8192,21/11/00,France Telecom Espana S.A
62.151.192.0,62.151.255.255,16384,21/11/00,France Telecom Espana S.A
62.174.0.0,62.175.255.255,131072,22/08/00,Cableuropa S.A.U.
62.201.0.0,62.201.15.255,4096,17/07/00,CAJAS RURALES UNIDAS, SOCIEDAD COOPERATIVA DE CREDITO
62.204.192.0,62.204.223.255,8192,30/06/00,Universidad Nacional de Educacion a Distancia - UNED
77.26.0.0,77.27.255.255,131072,14/01/08,R Cable y Telecomunicaciones Galicia, S.A.
77.208.0.0,77.211.255.255,262144,30/01/07,VODAFONE ESPANA S.A.U.
77.224.0.0,77.231.255.255,524288,06/12/06,VODAFONE ESPANA S.A.U.
77.240.112.0,77.240.127.255,4096,11/01/07,acens Technologies, S.L.
77.241.48.0,77.241.63.255,4096,31/01/07,XTRA TELECOM S.A.
77.241.112.0,77.241.127.255,4096,05/02/07,EPRESA ENERGIA S.A.U.
77.243.192.0,77.243.207.255,4096,16/03/07,Servicios de Hosting en Internet S.A.
77.246.176.0,77.246.191.255,4096,24/05/07,Idata Green Center S.L.
78.136.64.0,78.136.127.255,16384,07/05/07,ServiHosting Networks S.L.
