5.39.128.0,5.39.159.255,8192,15/05/12,H1 TELEKOM d.d.
5.43.160.0,5.43.191.255,8192,21/05/12,OT - OPTIMA TELEKOM d.d.
31.45.128.0,31.45.255.255,32768,10/03/11,VIPnet d.o.o.
31.147.0.0,31.147.255.255,65536,10/02/11,Croatian Academic and Research Network
31.216.192.0,31.216.223.255,8192,10/05/11,Hrvatski Telekom d.d.
31.217.0.0,31.217.127.255,32768,10/05/11,Hrvatski Telekom d.d.
37.244.128.0,37.244.255.255,32768,17/04/12,VIPnet d.o.o.
46.188.128.0,46.188.255.255,32768,29/11/10,Hrvatski Telekom d.d.
46.229.240.0,46.229.255.255,4096,23/02/11,NOVI-NET D.O.O.
46.234.64.0,46.234.95.255,8192,09/02/11,VIPnet d.o.o.
77.237.96.0,77.237.127.255,8192,02/02/07,VIPnet d.o.o.
78.0.0.0,78.3.255.255,262144,20/02/07,Hrvatski Telekom d.d.
78.134.128.0,78.134.255.255,32768,18/06/07,Metronet telekomunikacije d.d.
80.80.48.0,80.80.63.255,4096,29/03/05,H1 TELEKOM d.d.
80.253.160.0,80.253.175.255,4096,13/12/01,Vox Mundi d.o.o.
82.132.0.0,82.132.127.255,32768,19/05/09,Croatian Academic and Research Network
82.193.192.0,82.193.223.255,8192,10/10/03,Metronet telekomunikacije d.d.
83.131.0.0,83.131.255.255,65536,16/01/04,Hrvatski Telekom d.d.
83.139.64.0,83.139.127.255,16384,25/08/04,VIPnet d.o.o.
85.10.48.0,85.10.63.255,4096,18/02/05,AMIS Telekom d.o.o.
85.94.64.0,85.94.95.255,8192,22/12/04,Terrakom d.o.o.
85.114.32.0,85.114.63.255,8192,16/02/05,OT - OPTIMA TELEKOM d.d.
87.252.128.0,87.252.159.255,8192,22/09/05,Hrvatski Telekom d.d.
88.207.0.0,88.207.127.255,32768,14/12/05,VIPnet d.o.o.
89.17.0.0,89.17.31.255,8192,19/07/06,H1 TELEKOM d.d.
89.18.32.0,89.18.63.255,8192,03/08/06,Optika Kabel TV d.o.o.
89.164.0.0,89.164.127.255,32768,27/02/06,ISKON INTERNET d.d. za informatiku i telekomunikacije
89.164.128.0,89.164.255.255,32768,30/05/06,ISKON INTERNET d.d. za informatiku i telekomunikacije
89.172.0.0,89.172.255.255,65536,24/03/06,Hrvatski Telekom d.d.
89.201.128.0,89.201.255.255,32768,18/04/06,OT - OPTIMA TELEKOM d.d.
89.249.96.0,89.249.111.255,4096,20/07/06,FINANCIJSKA AGENCIJA d.o.o
92.242.224.0,92.242.255.255,8192,09/01/08,MAGIC NET D.O.O.
93.136.0.0,93.143.255.255,524288,23/04/08,Hrvatski Telekom d.d.
93.159.64.0,93.159.95.255,8192,16/06/08,Hrvatski Telekom d.d.
94.250.128.0,94.250.191.255,16384,11/09/12,VIPnet d.o.o.
94.253.128.0,94.253.255.255,32768,02/10/08,VIPnet d.o.o.
95.168.96.0,95.168.127.255,8192,05/01/09,VIPnet d.o.o.
95.178.128.0,95.178.255.255,32768,16/01/09,OT - OPTIMA TELEKOM d.d.
109.60.0.0,109.60.127.255,32768,11/12/09,VIPnet d.o.o.
109.227.0.0,109.227.63.255,16384,28/01/10,VIPnet d.o.o.
141.136.128.0,141.136.255.255,32768,29/06/11,ISKON INTERNET d.d. za informatiku i telekomunikacije
141.138.0.0,141.138.63.255,16384,29/06/11,ISKON INTERNET d.d. za informatiku i telekomunikacije
151.252.224.0,151.252.255.255,8192,24/08/12,H1 TELEKOM d.d.
161.53.0.0,161.53.255.255,65536,01/09/93,
176.62.0.0,176.62.31.255,8192,08/06/11,Terrakom d.o.o.
176.62.32.0,176.62.47.255,4096,08/06/11,Terrakom d.o.o.
176.222.32.0,176.222.47.255,4096,29/11/11,OT - OPTIMA TELEKOM d.d.
178.17.112.0,178.17.127.255,4096,19/03/10,BT NET d.o.o. za trgovinu i usluge
178.160.0.0,178.160.127.255,32768,19/01/10,Hrvatski Telekom d.d.
178.218.160.0,178.218.175.255,4096,27/04/10,
188.125.0.0,188.125.31.255,8192,03/07/09,Hrvatski Telekom d.d.
188.129.0.0,188.129.127.255,32768,18/03/09,AMIS Telekom d.o.o.
188.252.128.0,188.252.255.255,32768,09/02/11,VIPnet d.o.o.
193.198.0.0,193.198.255.255,65536,01/09/93,Croatian Academic and Research Network
194.152.192.0,194.152.255.255,16384,05/01/96,Hrvatski Telekom d.d.
195.29.0.0,195.29.31.255,8192,07/11/96,Hrvatski Telekom d.d.
195.29.32.0,195.29.63.255,8192,07/11/96,Hrvatski Telekom d.d.
195.29.64.0,195.29.127.255,16384,07/11/96,Hrvatski Telekom d.d.
195.29.128.0,195.29.255.255,32768,07/11/96,Hrvatski Telekom d.d.
212.15.160.0,212.15.191.255,8192,09/10/02,VIPnet d.o.o.
212.91.96.0,212.91.127.255,8192,24/11/99,VIPnet d.o.o.
212.92.192.0,212.92.223.255,8192,27/08/08,Metronet telekomunikacije d.d.
213.147.96.0,213.147.127.255,8192,31/08/05,Metronet telekomunikacije d.d.
213.149.32.0,213.149.63.255,8192,13/11/00,VIPnet d.o.o.
213.186.0.0,213.186.31.255,8192,18/10/10,Omonia d.o.o. za usluge i trgovinu
213.191.128.0,213.191.159.255,8192,22/02/00,ISKON INTERNET d.d. za informatiku i telekomunikacije
213.202.64.0,213.202.127.255,16384,15/11/00,ISKON INTERNET d.d. za informatiku i telekomunikacije
217.14.208.0,217.14.223.255,4096,16/12/02,Metronet telekomunikacije d.d.
217.68.80.0,217.68.95.255,4096,09/07/03,HEP d.d.

