5.38.128.0,5.38.255.255,32768,15/05/12,T-Mobile Hungary Telecommunications Company Limited by Shares
5.63.192.0,5.63.255.255,16384,12/06/12,Vodafone Hungary Ltd.
5.148.192.0,5.148.255.255,16384,13/07/12,UPC Magyarorszag Kft.
5.187.128.0,5.187.255.255,32768,10/08/12,T-Mobile Hungary Telecommunications Company Limited by Shares
5.204.0.0,5.204.255.255,65536,31/08/12,Telenor Hungary plc
5.206.128.0,5.206.191.255,16384,03/09/12,Vodafone Hungary Ltd.
31.46.0.0,31.46.255.255,65536,21/03/11,Magyar Telekom plc.
31.171.224.0,31.171.239.255,4096,04/04/11,Pick-Up Ltd.
37.17.160.0,37.17.175.255,4096,19/12/11,23VNet Kft.
37.76.0.0,37.76.127.255,32768,31/01/12,T-Mobile Hungary Telecommunications Company Limited by Shares
37.111.0.0,37.111.255.255,65536,08/02/12,Telenor Hungary plc
37.191.0.0,37.191.63.255,16384,21/03/12,UPC Magyarorszag Kft.
37.205.96.0,37.205.111.255,4096,28/03/12,
37.220.128.0,37.220.143.255,4096,03/04/12,ACE Telecom Kft
37.220.192.0,37.220.255.255,16384,04/04/12,Vodafone Hungary Ltd.
37.234.0.0,37.234.255.255,65536,13/04/12,Telenor Hungary plc
46.35.192.0,46.35.223.255,8192,21/10/10,23VNet Kft.
46.107.0.0,46.107.255.255,65536,20/07/10,Magyar Telekom plc.
46.139.0.0,46.139.255.255,65536,19/11/10,T-Mobile Hungary Telecommunications Company Limited by Shares
46.249.128.0,46.249.159.255,8192,11/01/11,Tarr Kft.
46.251.0.0,46.251.31.255,8192,03/02/11,Porion-Digital Kft.
62.68.160.0,62.68.191.255,8192,29/08/02,Enternet 2001 Ltd.
62.77.128.0,62.77.159.255,8192,25/07/00,Infotechna Ltd.
62.77.192.0,62.77.255.255,16384,08/03/02,Invitel Tavkozlesi Zrt.
62.100.224.0,62.100.255.255,8192,29/11/02,Infornax Society
62.112.192.0,62.112.223.255,8192,29/06/00,Enternet 2001 Ltd.
62.165.192.0,62.165.255.255,16384,26/11/02,DIGI Tavkozlesi es Szolgaltato Kft.
62.201.64.0,62.201.127.255,16384,01/11/01,Magyar Telekom plc.
77.110.128.0,77.110.191.255,16384,31/01/07,InCa Software Kft.
77.111.64.0,77.111.127.255,16384,07/02/07,Enternet 2001 Ltd.
77.111.128.0,77.111.191.255,16384,08/02/07,Tarr Kft.
77.221.32.0,77.221.63.255,8192,27/03/07,Microsystem-Kecskemet Kft
77.234.64.0,77.234.95.255,8192,04/01/07,DIGI Tavkozlesi es Szolgaltato Kft.
77.242.144.0,77.242.159.255,4096,01/03/07,Giganet Internet Szolgaltato Kft
77.243.208.0,77.243.223.255,4096,16/03/07,GPINET Internet Kereskedelmi es Szolgaltato Kft.
78.92.0.0,78.92.255.255,65536,18/07/07,Magyar Telekom plc.
78.108.16.0,78.108.31.255,4096,12/06/07,Olah es Tarsa Kereskedelmi es Szolgaltato Kft
78.131.0.0,78.131.127.255,32768,15/05/07,DIGI Tavkozlesi es Szolgaltato Kft.
