5.83.240.0,5.83.255.255,4096,15/06/12,Eurona-Brisknet Ltd
5.179.32.0,5.179.63.255,8192,07/08/12,UPC Communications Ireland Limited
31.13.64.0,31.13.127.255,16384,18/04/11,Facebook Ireland Ltd
31.200.128.0,31.200.191.255,16384,28/04/11,Hutchison 3G Ireland Limited
37.228.192.0,37.228.255.255,16384,11/04/12,UPC Communications Ireland Limited
46.7.0.0,46.7.255.255,65536,06/09/10,UPC Communications Ireland Limited
46.22.128.0,46.22.143.255,4096,25/11/10,Blacknight Internet Solutions Ltd
46.33.64.0,46.33.95.255,8192,31/08/10,
46.51.128.0,46.51.255.255,32768,30/07/10,Amazon Data Services Ireland Ltd
46.137.0.0,46.137.255.255,65536,16/11/10,Amazon Data Services Ireland Ltd
62.9.0.0,62.9.255.255,65536,13/03/00,Verizon Ireland Limited
62.17.0.0,62.17.255.255,65536,21/03/00,Verizon Ireland Limited
62.40.32.0,62.40.63.255,8192,12/05/00,Telefonica Ireland Limited
62.77.160.0,62.77.191.255,8192,30/01/02,Eircom Limited
62.231.32.0,62.231.63.255,8192,22/05/03,Imagine Telecommunications Ltd
77.67.0.0,77.67.127.255,32768,30/01/07,
77.107.192.0,77.107.255.255,16384,12/01/07,Fulnett Limited
78.16.0.0,78.19.255.255,262144,04/04/07,BT Communications Ireland Limited
78.135.128.0,78.135.255.255,32768,04/07/07,Imagine Telecommunications Ltd
78.137.128.0,78.137.191.255,16384,22/05/07,Digiweb ltd
78.143.128.0,78.143.191.255,16384,17/08/07,Ripple Communications Ltd
78.152.192.0,78.152.223.255,8192,22/06/07,Vodafone Ireland Limited
78.152.224.0,78.152.255.255,8192,22/06/07,Vodafone Ireland Limited
78.153.192.0,78.153.223.255,8192,11/07/07,Blacknight Internet Solutions Ltd
78.158.96.0,78.158.127.255,8192,05/09/07,3playplus Ltd.
79.97.0.0,79.97.255.255,65536,17/10/07,UPC Communications Ireland Limited
79.125.0.0,79.125.127.255,32768,24/08/07,Amazon Data Services Ireland Ltd
79.140.128.0,79.140.143.255,4096,08/10/07,Sungard Availability Services (Ireland) Ltd.
79.140.208.0,79.140.223.255,4096,10/10/07,Ajisko Ltd t/a Integrated Media Solutions
79.143.192.0,79.143.207.255,4096,28/11/07,Reach Broadband Ltd
80.93.0.0,80.93.15.255,4096,25/09/01,Sprintlink Ireland Ltd
80.93.16.0,80.93.31.255,4096,01/07/05,Digiweb ltd
80.233.0.0,80.233.127.255,32768,09/12/09,Telefonica Ireland Limited
80.249.240.0,80.249.255.255,4096,10/11/05,Adelphi Net1 Ltd
81.17.240.0,81.17.255.255,4096,16/12/05,Blacknight Internet Solutions Ltd
81.21.144.0,81.21.159.255,4096,16/01/06,Digital River Ireland Ltd.
82.141.192.0,82.141.255.255,16384,02/09/03,Eircom Limited
82.195.128.0,82.195.159.255,8192,27/10/03,Sungard Availability Services (Ireland) Ltd.
82.198.128.0,82.198.159.255,8192,18/11/03,Interfusion Networks Ltd.
83.70.0.0,83.71.255.255,131072,09/12/03,Eircom Limited
83.141.64.0,83.141.127.255,16384,14/09/04,Imagine Telecommunications Ltd
83.147.128.0,83.147.191.255,16384,23/02/04,Digiweb ltd
83.174.160.0,83.174.191.255,8192,21/05/04,Eircom Limited
83.210.0.0,83.210.255.255,65536,08/03/04,Connexion by Boeing Ireland Ltd.
83.220.192.0,83.220.223.255,8192,07/04/04,Casey CableVision Ltd.
84.18.160.0,84.18.191.255,8192,12/08/04,Thomson Corporation
84.51.224.0,84.51.255.255,8192,07/11/05,Sungard Availability Services (Ireland) Ltd.
84.203.0.0,84.203.255.255,65536,24/05/04,Digiweb ltd
85.91.0.0,85.91.31.255,8192,15/11/04,Magnet Networks Limited
85.134.128.0,85.134.255.255,32768,14/12/04,Imagine Telecommunications Ltd
86.40.0.0,86.47.255.255,524288,31/03/05,Eircom Limited
87.32.0.0,87.47.255.255,1048576,06/05/05,HEAnet Limited
87.192.0.0,87.192.255.255,65536,03/06/05,Imagine Telecommunications Ltd
87.198.0.0,87.198.255.255,65536,06/06/05,Magnet Networks Limited
87.232.0.0,87.232.255.255,65536,01/07/05,Imagine Telecommunications Ltd
87.252.192.0,87.252.223.255,8192,23/09/05,
88.81.96.0,88.81.127.255,8192,07/12/05,Western Broadband Networks Limited
88.87.160.0,88.87.191.255,8192,24/02/06,EOBO Limited
89.16.64.0,89.16.95.255,8192,30/06/06,Ripple Communications Ltd
89.18.64.0,89.18.95.255,8192,10/08/06,Fast Wireless Internet Ltd
89.19.64.0,89.19.95.255,8192,16/08/06,Vodafone Ireland Limited
89.100.0.0,89.101.255.255,131072,22/02/06,UPC Communications Ireland Limited
89.124.0.0,89.127.255.255,262144,08/03/06,Imagine Telecommunications Ltd
89.149.128.0,89.149.191.255,16384,22/02/06,
89.184.32.0,89.184.63.255,8192,24/03/06,Ripple Communications Ltd
89.185.128.0,89.185.159.255,8192,10/04/06,
89.191.32.0,89.191.63.255,8192,15/06/06,Complete Network Technology Limited
89.204.160.0,89.204.191.255,8192,04/05/06,Telefonica Ireland Limited
89.204.192.0,89.204.255.255,16384,04/05/06,Telefonica Ireland Limited
89.234.64.0,89.234.127.255,16384,18/05/06,Digiweb ltd
91.123.224.0,91.123.239.255,4096,27/04/07,
91.142.96.0,91.142.111.255,4096,17/10/06,Nova Networks Ltd
91.142.224.0,91.142.239.255,4096,24/10/06,Rapid Broadband Ltd
92.39.176.0,92.39.191.255,4096,09/09/08,Digitalforge
92.51.192.0,92.51.255.255,16384,09/01/08,Digiweb ltd
92.60.192.0,92.60.207.255,4096,05/12/07,Rapid Broadband Ltd
