1.6.0.0,1.7.255.255,131072,31/03/11,
1.22.0.0,1.23.255.255,131072,05/05/10,
1.38.0.0,1.39.255.255,131072,26/05/10,
1.186.0.0,1.186.255.255,65536,13/07/10,
1.187.0.0,1.187.255.255,65536,06/04/11,
14.96.0.0,14.99.255.255,262144,31/08/10,
14.102.0.0,14.102.127.255,32768,13/09/10,
14.102.224.0,14.102.239.255,4096,21/09/10,
14.139.0.0,14.139.255.255,65536,14/09/10,
14.140.0.0,14.143.255.255,262144,07/09/10,
14.194.0.0,14.195.255.255,131072,19/08/10,
27.0.48.0,27.0.63.255,4096,16/03/10,
27.4.0.0,27.7.255.255,262144,11/03/10,
27.34.240.0,27.34.255.255,4096,08/04/10,
27.48.0.0,27.49.255.255,131072,11/03/10,
27.54.160.0,27.54.191.255,8192,25/03/10,
27.56.0.0,27.63.255.255,524288,12/03/10,
27.97.0.0,27.97.255.255,65536,17/05/10,
27.106.0.0,27.106.127.255,32768,07/06/10,
27.107.0.0,27.107.255.255,65536,07/06/10,
27.109.0.0,27.109.31.255,8192,08/06/10,
27.118.32.0,27.118.63.255,8192,26/07/10,
27.123.64.0,27.123.127.255,16384,06/10/10,
27.124.0.0,27.124.63.255,16384,08/10/10,
27.248.0.0,27.251.255.255,262144,24/03/10,
27.255.128.0,27.255.255.255,32768,17/06/10,
42.104.0.0,42.104.127.255,32768,10/02/11,
42.104.128.0,42.104.255.255,32768,10/02/11,
42.105.0.0,42.105.255.255,65536,10/02/11,
42.106.0.0,42.107.255.255,131072,10/02/11,
42.108.0.0,42.111.255.255,262144,10/02/11,
49.12.0.0,49.13.255.255,131072,21/10/10,
49.14.0.0,49.15.255.255,131072,27/10/10,
49.32.0.0,49.47.255.255,1048576,27/10/10,
49.50.64.0,49.50.127.255,16384,29/10/10,
49.128.160.0,49.128.175.255,4096,10/11/10,
49.136.0.0,49.139.255.255,262144,25/10/10,
49.156.64.0,49.156.127.255,16384,26/11/10,
49.156.128.0,49.156.159.255,8192,26/11/10,
49.200.0.0,49.203.255.255,262144,06/12/10,
49.204.0.0,49.207.255.255,262144,06/12/10,
49.213.32.0,49.213.63.255,8192,09/12/10,
49.236.0.0,49.236.63.255,16384,29/11/10,
49.238.32.0,49.238.63.255,8192,07/12/10,
49.248.0.0,49.248.127.255,32768,08/10/10,
49.248.128.0,49.248.191.255,16384,08/10/10,
49.248.192.0,49.248.223.255,8192,08/10/10,
49.248.224.0,49.248.239.255,4096,08/10/10,
49.249.0.0,49.249.31.255,8192,08/10/10,
49.249.48.0,49.249.63.255,4096,08/10/10,
49.249.64.0,49.249.127.255,16384,08/10/10,
49.249.128.0,49.249.255.255,32768,08/10/10,
58.2.0.0,58.2.255.255,65536,10/01/05,
58.68.0.0,58.68.127.255,32768,21/03/05,
58.146.96.0,58.146.127.255,8192,19/01/07,
59.88.0.0,59.95.255.255,524288,06/09/04,
59.96.0.0,59.99.255.255,262144,06/09/04,
59.144.0.0,59.145.255.255,131072,20/10/04,
59.160.0.0,59.163.255.255,262144,22/11/04,
59.164.0.0,59.165.255.255,131072,22/11/04,
59.176.0.0,59.183.255.255,524288,30/11/04,
59.184.0.0,59.185.255.255,131072,30/11/04,
60.243.0.0,60.243.255.255,65536,22/09/06,
60.254.0.0,60.254.127.255,32768,17/12/04,
61.0.0.0,61.0.255.255,65536,11/01/00,
61.1.0.0,61.1.255.255,65536,13/01/00,
61.2.0.0,61.3.255.255,131072,27/12/01,
61.8.128.0,61.8.159.255,8192,19/12/02,
61.11.0.0,61.11.31.255,8192,28/01/00,
61.11.32.0,61.11.63.255,8192,27/02/01,
61.11.64.0,61.11.127.255,16384,27/02/01,
61.12.0.0,61.12.31.255,8192,15/04/04,
61.12.32.0,61.12.47.255,4096,15/04/04,
61.12.48.0,61.12.63.255,4096,15/04/04,
61.12.64.0,61.12.95.255,8192,15/04/04,
61.12.96.0,61.12.127.255,8192,15/04/04,
61.16.128.0,61.16.143.255,4096,03/03/03,
61.16.144.0,61.16.159.255,4096,03/03/03,
61.16.160.0,61.16.191.255,8192,03/03/03,
61.16.192.0,61.16.255.255,16384,03/03/03,
61.17.0.0,61.17.127.255,32768,12/06/02,
61.17.128.0,61.17.255.255,32768,22/11/04,
61.95.128.0,61.95.191.255,16384,07/08/03,
61.95.192.0,61.95.223.255,8192,07/08/03,
61.95.224.0,61.95.239.255,4096,23/01/02,
61.95.240.0,61.95.255.255,4096,29/05/03,
