5.42.192.0,5.42.223.255,8192,18/05/12,Midya Telecom for telecommunications-LTD
5.149.96.0,5.149.111.255,4096,16/07/12,Pure Line Co. For Telecommunications & Internet Ltd.
37.17.128.0,37.17.159.255,8192,19/12/11,AL SARD TRADING AGENCIES CO. LIMITED
37.77.64.0,37.77.79.255,4096,01/02/12,BAHR ALIRAQ General Trading Limited Liability Company
37.236.0.0,37.239.255.255,262144,13/04/12,EarthLink Ltd. Communications&Internet Services
46.253.128.0,46.253.143.255,4096,18/01/11,Computer Data Networks limited
62.201.192.0,62.201.255.255,16384,29/11/07,IQ Networks
78.109.224.0,78.109.239.255,4096,25/07/07,SCIS
81.90.16.0,81.90.31.255,4096,18/04/06,TigrisNet
81.95.80.0,81.95.95.255,4096,22/05/06,
91.106.32.0,91.106.63.255,8192,21/06/12,Hala Al Rafidain Company for Communications and Internet LTD.
91.108.192.0,91.108.255.255,16384,15/06/12,City Telecom Co. LTD.
93.91.192.0,93.91.207.255,4096,16/05/08,Newroz Telecom Ltd.
95.159.64.0,95.159.127.255,16384,24/04/09,Goran Net ISP Ltd.
95.170.192.0,95.170.223.255,8192,06/02/09,Newroz Telecom Ltd.
109.127.64.0,109.127.127.255,16384,07/12/09,Newroz Telecom Ltd.
109.224.0.0,109.224.63.255,16384,09/03/10,EarthLink Ltd. Communications&Internet Services
109.237.192.0,109.237.207.255,4096,18/01/10,
130.193.128.0,130.193.255.255,32768,26/10/11,Newroz Telecom Ltd.
131.117.224.0,131.117.255.255,8192,16/03/12,AL SARD TRADING AGENCIES CO. LIMITED
149.255.192.0,149.255.255.255,16384,22/08/11,EarthLink Ltd. Communications&Internet Services
151.236.160.0,151.236.191.255,8192,14/08/12,Al Atheer Telecommunication-Iraq Co. Ltd. Incorporated in Cayman Islands
176.241.80.0,176.241.95.255,4096,05/12/11,Hayat for Internet & communication LLC
188.72.0.0,188.72.63.255,16384,07/07/09,CellNet ltd
212.126.96.0,212.126.127.255,8192,25/05/10,Al-Sard Company for Trading agencies Ltd.
213.188.64.0,213.188.95.255,8192,11/12/07,

