5.45.128.0,5.45.143.255,4096,25/05/12,Umniah Lil-Hawatef Al-Mutanaqelah Co.
31.222.224.0,31.222.255.255,8192,16/05/11,The Blue Zone East / Jordan
37.17.192.0,37.17.207.255,4096,19/12/11,Al mouakhah lil khadamat al logesteih wa al itisalat
37.110.160.0,37.110.191.255,8192,08/02/12,VTEL-Georgia
37.123.64.0,37.123.95.255,8192,15/02/12,Al mouakhah lil khadamat al logesteih wa al itisalat
37.140.240.0,37.140.255.255,4096,01/03/12,The Blue Zone East / Jordan
37.202.64.0,37.202.127.255,16384,23/03/12,Jordan Data Communications Company LLC
37.220.112.0,37.220.127.255,4096,03/04/12,Batelco Jordan
46.23.112.0,46.23.127.255,4096,08/12/10,Umniah Mobile Company PLC
46.32.96.0,46.32.127.255,8192,13/08/10,Linkdotnet-Jordan
46.185.128.0,46.185.255.255,32768,11/11/10,Jordan Data Communications Company LLC
46.248.192.0,46.248.223.255,8192,22/12/10,Umniah Mobile Company PLC
77.241.64.0,77.241.79.255,4096,02/02/07,Tarasol Telecom
77.245.0.0,77.245.15.255,4096,10/04/07,Linkdotnet-Jordan
79.134.128.0,79.134.159.255,8192,22/10/07,JORDAN TV CABLE & INTERNET SERVICES CO
79.173.192.0,79.173.255.255,16384,31/10/07,Jordan Data Communications Company LLC
80.90.160.0,80.90.175.255,4096,07/09/01,Linkdotnet-Jordan
81.28.112.0,81.28.127.255,4096,17/03/06,AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO.
82.212.64.0,82.212.127.255,16384,11/09/08,AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO.
84.18.32.0,84.18.63.255,8192,11/08/04,Royal Hashemite Court
84.18.64.0,84.18.95.255,8192,11/08/04,Farah Trading & Contracting Co.
86.108.0.0,86.108.127.255,32768,23/05/05,Jordan Data Communications Company LLC
91.106.96.0,91.106.111.255,4096,21/06/12,Batelco Jordan
91.186.224.0,91.186.255.255,8192,13/11/06,Batelco Jordan
92.62.112.0,92.62.127.255,4096,23/01/08,Metrobeam Jordan
92.241.32.0,92.241.63.255,8192,05/12/07,Umniah Mobile Company PLC
92.253.0.0,92.253.127.255,32768,25/09/09,Jordan Data Communications Company LLC
94.142.32.0,94.142.63.255,8192,16/12/08,Linkdotnet-Jordan
94.249.0.0,94.249.127.255,32768,16/09/08,Jordan Data Communications Company LLC
95.140.160.0,95.140.175.255,4096,17/03/09,
95.141.208.0,95.141.223.255,4096,30/06/09,Al mouakhah lil khadamat al logesteih wa al itisalat
95.172.192.0,95.172.223.255,8192,02/03/09,Umniah Mobile Company PLC
109.107.128.0,109.107.159.255,8192,19/10/09,The Blue Zone East / Jordan
109.107.224.0,109.107.255.255,8192,22/10/09,Umniah Mobile Company PLC
149.200.128.0,149.200.255.255,32768,15/08/11,Jordan Data Communications Company LLC
176.28.128.0,176.28.255.255,32768,20/05/11,Linkdotnet-Jordan
176.29.0.0,176.29.255.255,65536,20/05/11,Linkdotnet-Jordan
176.57.0.0,176.57.31.255,8192,31/05/11,Al mouakhah lil khadamat al logesteih wa al itisalat
178.17.208.0,178.17.223.255,4096,31/03/10,Metrobeam Jordan
178.77.128.0,178.77.191.255,16384,21/04/10,Al mouakhah lil khadamat al logesteih wa al itisalat
178.238.176.0,178.238.191.255,4096,26/07/10,Umniah Lil-Hawatef Al-Mutanaqelah Co.
188.123.160.0,188.123.191.255,8192,16/06/09,AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO.
188.244.96.0,188.244.111.255,4096,17/08/09,Metrobeam Jordan
188.247.64.0,188.247.95.255,8192,25/08/09,Linkdotnet-Jordan
193.188.64.0,193.188.95.255,8192,29/12/95,National Information Technology Center
194.165.128.0,194.165.159.255,8192,01/02/96,Jordan Data Communications Company LLC
195.158.192.0,195.158.223.255,8192,28/04/97,Middle East Communications Corporation
212.34.0.0,212.34.31.255,8192,04/03/98,Jordan Telecommunications Company
212.35.64.0,212.35.95.255,8192,27/07/98,FIRSTNET (First Data Communication Group)
212.38.128.0,212.38.159.255,8192,11/05/98,
212.118.0.0,212.118.31.255,8192,26/10/98,Batelco Jordan
213.139.32.0,213.139.63.255,8192,24/10/00,Jordan Telecommunications Company
213.186.160.0,213.186.191.255,8192,12/09/01,Jordan Data Communications Company LLC
217.23.32.0,217.23.47.255,4096,05/10/00,Jordan Data Communications Company LLC
217.29.240.0,217.29.255.255,4096,21/05/03,Applied Science University (ASU)
217.144.0.0,217.144.15.255,4096,19/02/01,Farah Trading & Contracting Co.

