41.57.96.0,41.57.111.255,4096,09/03/12,
41.72.160.0,41.72.191.255,8192,02/12/09,
41.75.32.0,41.75.47.255,4096,25/10/10,
41.75.144.0,41.75.159.255,4096,17/01/11,
41.75.176.0,41.75.191.255,4096,09/12/10,
41.80.0.0,41.81.255.255,131072,16/06/10,
41.89.0.0,41.89.255.255,65536,08/01/10,
41.90.0.0,41.90.255.255,65536,16/11/09,
41.138.240.0,41.138.255.255,4096,18/06/09,
41.139.128.0,41.139.255.255,32768,17/06/09,
41.203.208.0,41.203.223.255,4096,25/01/08,
41.204.160.0,41.204.191.255,8192,11/07/06,
41.206.32.0,41.206.63.255,8192,31/01/07,
41.207.64.0,41.207.95.255,8192,12/03/08,
41.207.96.0,41.207.127.255,8192,07/08/06,
41.209.0.0,41.209.63.255,16384,29/06/06,
41.212.0.0,41.212.127.255,32768,09/08/07,
41.215.0.0,41.215.127.255,32768,05/05/08,
41.215.128.0,41.215.143.255,4096,17/07/08,
41.215.192.0,41.215.207.255,4096,30/09/08,
41.220.112.0,41.220.127.255,4096,28/06/06,
62.8.64.0,62.8.95.255,8192,09/06/00,
62.24.96.0,62.24.127.255,8192,10/07/01,
77.220.0.0,77.220.31.255,8192,13/07/07,
80.72.96.0,80.72.111.255,4096,23/09/09,
87.255.96.0,87.255.127.255,8192,08/11/05,
105.48.0.0,105.63.255.255,1048576,30/01/14,
105.160.0.0,105.167.255.255,524288,13/12/12,
105.230.0.0,105.231.255.255,131072,30/08/12,
154.65.16.0,154.65.31.255,4096,23/09/13,
154.70.0.0,154.70.63.255,16384,22/11/13,
154.76.0.0,154.79.255.255,262144,23/04/14,
154.122.0.0,154.123.255.255,131072,10/04/14,
195.202.64.0,195.202.95.255,8192,28/02/97,
196.40.128.0,196.40.143.255,4096,07/09/11,
196.200.16.0,196.200.31.255,4096,08/01/04,
196.200.32.0,196.200.47.255,4096,27/09/07,
196.201.128.0,196.201.159.255,8192,23/09/09,
196.201.208.0,196.201.223.255,4096,07/12/04,
196.202.192.0,196.202.223.255,8192,25/10/04,
196.207.16.0,196.207.31.255,4096,30/05/05,
197.136.0.0,197.139.255.255,262144,22/12/10,
197.156.128.0,197.156.191.255,16384,19/10/11,
197.159.96.0,197.159.111.255,4096,14/02/12,
197.176.0.0,197.183.255.255,524288,13/10/10,
197.211.0.0,197.211.31.255,8192,21/01/13,
197.220.96.0,197.220.127.255,8192,05/05/11,
197.232.0.0,197.232.255.255,65536,08/04/13,
197.237.0.0,197.237.255.255,65536,09/12/10,
197.239.192.0,197.239.255.255,16384,06/12/12,
197.242.208.0,197.242.223.255,4096,20/06/12,
197.248.0.0,197.248.255.255,65536,05/05/11,
197.254.0.0,197.254.127.255,32768,13/01/11,
212.22.160.0,212.22.191.255,8192,15/01/09,
212.49.64.0,212.49.95.255,8192,03/08/98,
213.147.64.0,213.147.95.255,8192,11/02/10,
213.150.96.0,213.150.127.255,8192,01/03/10,
217.199.144.0,217.199.159.255,4096,25/07/03,

