61.245.160.0,61.245.175.255,4096,07/07/10,
101.2.176.0,101.2.191.255,4096,13/12/10,
111.223.128.0,111.223.191.255,16384,17/07/09,
112.134.0.0,112.135.255.255,131072,29/01/09,
113.59.192.0,113.59.223.255,8192,28/10/08,
116.12.64.0,116.12.127.255,16384,27/03/07,
119.235.0.0,119.235.15.255,4096,29/02/08,
122.255.0.0,122.255.63.255,16384,29/11/06,
123.231.0.0,123.231.127.255,32768,15/02/07,
124.6.240.0,124.6.255.255,4096,11/01/11,
124.43.0.0,124.43.255.255,65536,17/01/06,
125.214.160.0,125.214.191.255,8192,01/02/07,
175.157.0.0,175.157.255.255,65536,13/01/10,
182.161.0.0,182.161.31.255,8192,06/04/10,
192.248.0.0,192.248.127.255,32768,22/07/10,
202.69.192.0,202.69.207.255,4096,12/02/02,
202.124.160.0,202.124.175.255,4096,25/01/01,
202.124.176.0,202.124.191.255,4096,22/11/04,
203.81.96.0,203.81.111.255,4096,11/11/02,
203.94.64.0,203.94.95.255,8192,23/03/01,
203.94.96.0,203.94.127.255,8192,11/04/01,
203.115.0.0,203.115.31.255,8192,31/03/99,
203.115.32.0,203.115.63.255,8192,06/04/99,
203.143.16.0,203.143.31.255,4096,19/10/99,
203.143.32.0,203.143.63.255,8192,22/05/01,
203.189.64.0,203.189.79.255,4096,12/10/00,
220.247.192.0,220.247.255.255,16384,28/03/03,
222.165.128.0,222.165.191.255,16384,27/09/04,

