5.20.0.0,5.20.255.255,65536,02/05/12,UAB "Cgates"
5.199.160.0,5.199.175.255,4096,28/08/12,UAB DUOMENU CENTRAS
31.44.96.0,31.44.111.255,4096,25/02/11,Penki Kontinentai, Ltd.
31.209.64.0,31.209.79.255,4096,02/05/11,LTD "Elekta"
46.36.64.0,46.36.95.255,8192,26/10/10,KLI LT, UAB
46.166.160.0,46.166.175.255,4096,16/12/10,UAB DUOMENU CENTRAS
46.249.160.0,46.249.191.255,8192,12/01/11,SPLIUS, UAB
46.251.32.0,46.251.63.255,8192,03/02/11,UAB "KAVAMEDIA"
62.80.224.0,62.80.255.255,8192,08/11/02,SPLIUS, UAB
62.212.192.0,62.212.223.255,8192,07/08/02,OMNITEL Net
77.70.128.0,77.70.255.255,32768,21/02/07,Astrium Services Enterprises AS
77.79.0.0,77.79.63.255,16384,09/03/07,SPLIUS, UAB
77.90.64.0,77.90.127.255,16384,19/04/07,Verslo Tiltas UAB
77.221.64.0,77.221.95.255,8192,27/03/07,UAB "KAVAMEDIA"
77.241.192.0,77.241.207.255,4096,14/02/07,UAB "Baltnetos komunikacijos"
78.56.0.0,78.63.255.255,524288,21/03/07,TEO LT, AB
78.157.64.0,78.157.95.255,8192,29/08/07,Penki Kontinentai, Ltd.
78.158.0.0,78.158.31.255,8192,31/08/07,UAB Consilium Optimum
79.132.160.0,79.132.191.255,8192,28/09/07,Init Corporation
79.133.224.0,79.133.255.255,8192,16/10/07,UAB "Cgates"
79.142.112.0,79.142.127.255,4096,06/11/07,UAB "Baltnetos komunikacijos"
80.240.0.0,80.240.15.255,4096,09/10/01,UAB "Cgates"
80.243.16.0,80.243.31.255,4096,08/09/05,LTD "Elekta"
81.7.64.0,81.7.127.255,16384,01/08/02,TEO LT, AB
81.16.224.0,81.16.239.255,4096,07/01/02,UAB Technologiju ir inovaciju centras
81.29.16.0,81.29.31.255,4096,22/03/06,UAB "Cgates"
82.135.128.0,82.135.255.255,32768,17/09/03,TEO LT, AB
82.140.128.0,82.140.191.255,16384,07/08/03,SC "Lithuanian Radio and TV Center"
83.171.0.0,83.171.63.255,16384,21/04/04,Kaunas University of Technology
84.15.0.0,84.15.255.255,65536,29/07/04,UAB "Bite Lietuva"
84.32.0.0,84.32.255.255,65536,18/08/04,UAB Nacionalinis Telekomunikaciju Tinklas
84.46.128.0,84.46.255.255,32768,11/10/04,SC "Lithuanian Radio and TV Center"
84.55.0.0,84.55.63.255,16384,15/11/04,Init Corporation
84.240.0.0,84.240.63.255,16384,03/06/04,Penki Kontinentai, Ltd.
85.206.0.0,85.206.127.255,32768,13/01/05,TEO LT, AB
85.206.128.0,85.206.159.255,8192,13/01/05,TEO LT, AB
85.206.160.0,85.206.175.255,4096,13/01/05,Informacines sistemos ir technologijos, UAB
85.206.176.0,85.206.191.255,4096,13/01/05,TEO LT, AB
85.206.192.0,85.206.255.255,16384,13/01/05,TEO LT, AB
85.232.128.0,85.232.159.255,8192,13/04/05,SPLIUS, UAB
85.255.48.0,85.255.63.255,4096,26/04/05,
85.255.96.0,85.255.111.255,4096,12/09/05,
86.38.0.0,86.38.255.255,65536,19/05/05,SC "Lithuanian Radio and TV Center"
86.100.0.0,86.100.255.255,65536,23/05/05,UAB "Balticum TV"
87.247.64.0,87.247.127.255,16384,06/09/05,UAB "Cgates"
88.118.0.0,88.118.255.255,65536,24/10/05,TEO LT, AB
88.119.0.0,88.119.127.255,32768,24/10/05,TEO LT, AB
88.119.128.0,88.119.159.255,8192,24/10/05,TEO LT, AB
88.119.160.0,88.119.175.255,4096,24/10/05,Informacines sistemos ir technologijos, UAB
88.119.176.0,88.119.191.255,4096,24/10/05,TEO LT, AB
88.119.192.0,88.119.255.255,16384,24/10/05,TEO LT, AB
88.216.0.0,88.216.255.255,65536,22/11/05,UAB Nacionalinis Telekomunikaciju Tinklas
88.222.0.0,88.223.255.255,131072,07/02/06,UAB "Dokeda"
89.116.0.0,89.117.255.255,131072,03/05/06,SC "Lithuanian Radio and TV Center"
89.190.96.0,89.190.127.255,8192,06/06/06,UAB "NNT"
89.249.80.0,89.249.95.255,4096,20/07/06,UAB "Baltnetos komunikacijos"
91.187.160.0,91.187.191.255,8192,27/11/06,LTD "Elekta"
92.61.32.0,92.61.47.255,4096,12/12/07,UAB HOSTEX
92.62.128.0,92.62.143.255,4096,23/01/08,UAB "Baltnetos komunikacijos"
94.244.64.0,94.244.127.255,16384,09/09/09,
95.173.32.0,95.173.63.255,8192,04/03/09,Init Corporation
141.136.32.0,141.136.47.255,4096,29/06/11,VARDAS.LT, UAB
158.129.0.0,158.129.255.255,65536,05/03/92,
178.16.32.0,178.16.47.255,4096,22/02/10,UAB "Cgates"
178.19.16.0,178.19.31.255,4096,28/04/10,UAB Roventa
188.69.0.0,188.69.255.255,65536,26/08/09,OMNITEL Net
193.219.32.0,193.219.63.255,8192,01/04/94,Kaunas University of Technology
193.219.64.0,193.219.95.255,8192,01/04/94,Kaunas University of Technology
193.219.128.0,193.219.191.255,16384,08/10/96,Kaunas University of Technology
193.219.192.0,193.219.223.255,8192,15/01/96,Astrium Services Enterprises AS
193.219.224.0,193.219.255.255,8192,07/06/96,Astrium Services Enterprises AS
193.220.0.0,193.220.31.255,8192,07/06/96,Astrium Services Enterprises AS
193.220.32.0,193.220.63.255,8192,13/05/97,Astrium Services Enterprises AS
193.220.64.0,193.220.127.255,16384,13/05/97,Astrium Services Enterprises AS
193.220.128.0,193.220.255.255,32768,13/05/97,Astrium Services Enterprises AS
194.135.80.0,194.135.95.255,4096,06/02/95,UAB "Interneto vizija"
194.176.32.0,194.176.63.255,8192,20/11/95,OMNITEL Net
195.12.160.0,195.12.191.255,8192,07/10/97,TEO LT, AB
195.14.160.0,195.14.191.255,8192,08/10/97,UAB "Baltnetos komunikacijos"
195.22.160.0,195.22.191.255,8192,10/10/97,OMNITEL Net
195.182.64.0,195.182.95.255,8192,28/02/97,State Enterprise Infostruktura
212.12.192.0,212.12.223.255,8192,11/07/08,UAB "Parabole"
212.47.96.0,212.47.127.255,8192,13/09/99,OMNITEL Net
212.52.32.0,212.52.63.255,8192,07/05/08,UAB "KAVAMEDIA"
212.59.0.0,212.59.31.255,8192,07/04/98,TEO LT, AB
212.117.0.0,212.117.31.255,8192,17/06/08,UAB "Cgates"
212.122.64.0,212.122.95.255,8192,22/01/99,Penki Kontinentai, Ltd.
213.159.32.0,213.159.63.255,8192,15/10/08,Penki Kontinentai, Ltd.
213.164.96.0,213.164.127.255,8192,23/10/02,Init Corporation
213.190.32.0,213.190.63.255,8192,07/02/01,TEO LT, AB
213.197.128.0,213.197.159.255,8192,23/06/00,UAB "Baltnetos komunikacijos"
213.197.160.0,213.197.191.255,8192,28/11/02,UAB "Baltnetos komunikacijos"
213.226.128.0,213.226.159.255,8192,28/04/00,UAB "Bite Lietuva"
213.226.160.0,213.226.191.255,8192,03/05/02,UAB "Bite Lietuva"
213.252.192.0,213.252.255.255,16384,07/05/03,UAB "Bite Lietuva"
217.9.240.0,217.9.255.255,4096,30/10/02,SC "Lithuanian Radio and TV Center"
217.17.80.0,217.17.95.255,4096,30/12/02,UAB "Cgates"
217.77.16.0,217.77.31.255,4096,20/10/03,LTD "Elekta"
217.117.16.0,217.117.31.255,4096,18/12/03,UAB "Baltnetos komunikacijos"
217.147.32.0,217.147.47.255,4096,01/03/01,Init Corporation

