31.204.192.0,31.204.255.255,16384,29/04/11,Crnogorski Telekom a.d.Podgorica
37.122.160.0,37.122.191.255,8192,14/02/12,Crnogorski Telekom a.d.Podgorica
46.33.192.0,46.33.223.255,8192,15/09/10,Crnogorski Telekom a.d.Podgorica
46.161.64.0,46.161.127.255,16384,17/11/10,Crnogorski Telekom a.d.Podgorica
62.4.32.0,62.4.63.255,8192,21/02/08,Drustvo za telekomunikacije "MTEL" DOO
77.222.0.0,77.222.31.255,8192,05/04/07,Crnogorski Telekom a.d.Podgorica
78.155.32.0,78.155.63.255,8192,24/07/08,Crnogorski Telekom a.d.Podgorica
79.140.144.0,79.140.159.255,4096,08/10/07,Telemach AD
79.143.96.0,79.143.111.255,4096,23/11/07,Promonte GSM
85.94.96.0,85.94.127.255,8192,29/12/04,Crnogorski Telekom a.d.Podgorica
89.188.32.0,89.188.63.255,8192,04/05/06,University of Montenegro
94.102.224.0,94.102.239.255,4096,10/09/08,MNNews d.o.o
95.155.0.0,95.155.63.255,16384,27/02/09,Crnogorski Telekom a.d.Podgorica
109.72.96.0,109.72.111.255,4096,11/09/09,Drustvo za telekomunikacije "MTEL" DOO
109.228.64.0,109.228.127.255,16384,04/02/10,Crnogorski Telekom a.d.Podgorica
178.175.0.0,178.175.127.255,32768,27/04/10,
195.66.160.0,195.66.191.255,8192,20/10/97,Crnogorski Telekom a.d.Podgorica
213.133.0.0,213.133.31.255,8192,15/10/07,Drustvo za telekomunikacije "MTEL" DOO
213.149.96.0,213.149.127.255,8192,28/08/02,Crnogorski Telekom a.d.Podgorica
213.163.96.0,213.163.127.255,8192,15/10/02,

