41.63.128.0,41.63.159.255,8192,19/11/10,
41.74.16.0,41.74.31.255,4096,15/01/10,
41.74.208.0,41.74.223.255,4096,04/08/10,
41.188.0.0,41.188.63.255,16384,17/10/08,
41.204.96.0,41.204.127.255,8192,15/06/06,
41.207.32.0,41.207.63.255,8192,10/10/06,
41.242.96.0,41.242.111.255,4096,13/08/13,
154.120.128.0,154.120.191.255,16384,18/04/14,
154.126.0.0,154.126.127.255,32768,17/03/14,
196.192.32.0,196.192.47.255,4096,13/05/04,
197.148.128.0,197.148.191.255,16384,04/07/12,
197.149.0.0,197.149.63.255,16384,27/06/12,
197.158.64.0,197.158.127.255,16384,12/06/12,
197.159.144.0,197.159.159.255,4096,21/11/11,
197.215.192.0,197.215.207.255,4096,15/02/13,

