31.11.64.0,31.11.127.255,16384,14/04/11,Blizoo DOOEL Skopje
31.12.16.0,31.12.31.255,4096,15/04/11,T-Mobile Makedonija AD Skopje
46.217.0.0,46.217.255.255,65536,29/12/10,Makedonski Telekom
62.162.0.0,62.162.255.255,65536,26/09/00,Makedonski Telekom
62.220.192.0,62.220.223.255,8192,03/07/00,Makedonski Telekom
77.28.0.0,77.29.255.255,131072,24/01/08,Makedonski Telekom
78.157.0.0,78.157.31.255,8192,27/08/07,Blizoo DOOEL Skopje
79.125.128.0,79.125.255.255,32768,31/08/07,Makedonski Telekom
79.126.128.0,79.126.255.255,32768,13/09/07,ONE Telecommunications Services DOOEL Skopje
79.141.112.0,79.141.127.255,4096,19/10/07,INFEL-KTV DOO
80.77.144.0,80.77.159.255,4096,11/03/05,NEOTEL DOO export-import Skopje
85.30.64.0,85.30.127.255,16384,23/05/05,ONE Telecommunications Services DOOEL Skopje
88.85.96.0,88.85.127.255,8192,01/02/06,NEOTEL DOO export-import Skopje
89.185.192.0,89.185.223.255,8192,12/04/06,TRD "Net Kabel"
89.205.0.0,89.205.127.255,32768,04/05/06,Trgovsko radiodifuzno drustvo kablovska televizija ROBI DOOEL Stip
92.53.0.0,92.53.63.255,16384,14/02/08,Blizoo DOOEL Skopje
92.55.64.0,92.55.127.255,16384,10/03/08,NEOTEL DOO export-import Skopje
94.100.96.0,94.100.111.255,4096,23/07/08,Miksnet
95.86.0.0,95.86.63.255,16384,31/12/08,Inel Internacional Dooel Kavadarci
95.156.0.0,95.156.63.255,16384,18/03/09,T-Mobile Makedonija AD Skopje
95.180.128.0,95.180.255.255,32768,27/01/09,NEOTEL DOO export-import Skopje
146.255.64.0,146.255.95.255,8192,19/07/11,TELESMART TELEKOM DOO
151.236.240.0,151.236.255.255,4096,16/08/12,PET NET DOO Gevgelija
188.44.0.0,188.44.31.255,8192,03/10/11,Commercial radio-broadcasting company Cable operator GIV Ivan and others LTD Gostivar
194.149.128.0,194.149.159.255,8192,03/01/96,Univerzitet "Sv. Kiril i Metodij"
195.26.128.0,195.26.159.255,8192,24/10/96,Makedonski Telekom
212.13.64.0,212.13.95.255,8192,13/07/98,UltraNet d.o.o.
212.120.0.0,212.120.31.255,8192,24/09/98,Company for computing services NETCETERA DOOEL export-import Skopje
212.158.176.0,212.158.191.255,4096,12/02/09,ONE Telecommunications Services DOOEL Skopje
213.135.160.0,213.135.191.255,8192,29/01/08,KDS-Kabel Net DOOEL
217.16.64.0,217.16.79.255,4096,11/09/00,ONE Telecommunications Services DOOEL Skopje
217.16.80.0,217.16.95.255,4096,14/12/00,ONE Telecommunications Services DOOEL Skopje
217.196.192.0,217.196.207.255,4096,22/03/12,Miksnet

