27.34.0.0,27.34.127.255,32768,22/03/10,
27.111.16.0,27.111.31.255,4096,29/06/10,
36.252.0.0,36.253.255.255,131072,10/02/11,
49.126.0.0,49.126.255.255,65536,12/10/10,
49.244.0.0,49.244.255.255,65536,11/11/10,
110.34.0.0,110.34.31.255,8192,26/02/09,
110.44.112.0,110.44.127.255,4096,11/03/09,
111.119.32.0,111.119.63.255,8192,15/02/11,
113.199.128.0,113.199.255.255,32768,02/12/08,
115.187.16.0,115.187.31.255,4096,11/09/08,
116.90.224.0,116.90.239.255,4096,30/05/07,
117.121.224.0,117.121.239.255,4096,07/08/07,
118.91.160.0,118.91.175.255,4096,27/08/07,
120.89.96.0,120.89.127.255,8192,07/04/08,
124.41.192.0,124.41.255.255,16384,20/09/07,
182.93.64.0,182.93.95.255,8192,05/03/10,
202.51.64.0,202.51.95.255,8192,30/07/99,
202.52.224.0,202.52.239.255,4096,23/02/99,
202.70.64.0,202.70.95.255,8192,15/11/99,
202.79.32.0,202.79.63.255,8192,10/08/98,
202.166.192.0,202.166.223.255,8192,10/06/05,
203.78.160.0,203.78.175.255,4096,01/10/02,

