5.2.128.0,5.2.255.255,32768,27/04/12,RCS & RDS SA
5.12.0.0,5.15.255.255,262144,27/04/12,RCS & RDS SA
5.83.32.0,5.83.47.255,4096,14/06/12,Millennium IT SRL
5.154.176.0,5.154.191.255,4096,19/07/12,NAV DATACENTER TELECOM SRL
5.154.224.0,5.154.239.255,4096,19/07/12,NAV DATACENTER TELECOM SRL
5.155.0.0,5.155.255.255,65536,19/07/12,
5.157.128.0,5.157.255.255,32768,24/07/12,SC RoSite Equipment SRL
5.254.0.0,5.254.127.255,32768,13/09/12,Globalcity Telecom S.R.L.
31.14.128.0,31.14.143.255,4096,18/04/11,
31.14.192.0,31.14.207.255,4096,18/04/11,
31.42.128.0,31.42.159.255,8192,18/02/11,
31.132.80.0,31.132.95.255,4096,20/06/11,S.C. GVM SISTEM 2003 S.R.L.
37.35.32.0,37.35.63.255,8192,05/01/12,SC RoSite Equipment SRL
37.120.128.0,37.120.159.255,8192,13/02/12,Secure Data Systems SRL
37.120.192.0,37.120.255.255,16384,13/02/12,Secure Data Systems SRL
37.128.224.0,37.128.239.255,4096,21/02/12,Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
37.143.160.0,37.143.175.255,4096,02/03/12,OPTICNET - SERV S.R.L.
37.148.0.0,37.148.127.255,32768,02/03/12,OPTICNET - SERV S.R.L.
37.156.80.0,37.156.95.255,4096,13/03/12,
37.202.128.0,37.202.255.255,32768,23/03/12,OPTICNET - SERV S.R.L.
37.221.160.0,37.221.175.255,4096,05/04/12,Voxility S.R.L.
37.251.128.0,37.251.255.255,32768,18/04/12,CLAX TELECOM SRL
46.20.128.0,46.20.143.255,4096,29/09/10,Direct One SA
46.49.128.0,46.49.255.255,32768,13/07/10,VisNetwork Media S.R.L.
46.97.0.0,46.97.255.255,65536,31/05/10,Vodafone Romania S.A.
46.102.0.0,46.102.63.255,16384,25/06/10,Digital Cable Systems S.A.
46.102.64.0,46.102.95.255,8192,25/06/10,Digital Cable Systems S.A.
46.108.0.0,46.108.255.255,65536,21/07/10,AdNet Telecom Services SRL
46.173.240.0,46.173.255.255,4096,14/02/11,S.C. GVM SISTEM 2003 S.R.L.
46.214.0.0,46.214.255.255,65536,21/12/10,NEXTGEN COMMUNICATIONS SRL
62.216.64.0,62.216.95.255,8192,25/03/10,SC RoSite Equipment SRL
62.217.192.0,62.217.255.255,16384,07/02/03,Orange Romania S.A.
62.231.64.0,62.231.127.255,16384,23/11/01,RCS & RDS SA
77.36.0.0,77.36.127.255,32768,08/03/07,S.C. GVM SISTEM 2003 S.R.L.
77.81.16.0,77.81.31.255,4096,15/02/07,
77.81.96.0,77.81.111.255,4096,15/02/07,
77.81.144.0,77.81.159.255,4096,15/02/07,
77.81.224.0,77.81.239.255,4096,15/02/07,
77.93.160.0,77.93.191.255,8192,18/05/07,Prime Telecom srl
77.232.192.0,77.232.223.255,8192,14/12/06,S.C. GVM SISTEM 2003 S.R.L.
78.96.0.0,78.97.255.255,131072,25/04/07,UPC Romania SRL
79.112.0.0,79.119.255.255,524288,29/05/07,RCS & RDS SA
80.74.48.0,80.74.63.255,4096,10/02/05,Atlas Telecom Network Romania S.R.L.
80.86.96.0,80.86.111.255,4096,20/08/01,iNES GROUP SRL
80.86.112.0,80.86.127.255,4096,01/08/03,iNES GROUP SRL
80.96.0.0,80.97.255.255,131072,05/07/01,Institutul National de Cercetare-Dezvoltare in informatica - ICI Bucuresti
81.12.128.0,81.12.255.255,32768,06/06/02,Vodafone Romania S.A.
81.18.64.0,81.18.79.255,4096,15/01/02,RCS & RDS SA
81.18.80.0,81.18.95.255,4096,06/06/02,RCS & RDS SA
81.22.144.0,81.22.159.255,4096,25/01/06,NEXTGEN COMMUNICATIONS SRL
81.24.16.0,81.24.31.255,4096,15/02/06,Euroweb Romania S.A.
81.89.0.0,81.89.15.255,4096,21/06/02,UPC Romania SRL
81.89.16.0,81.89.31.255,4096,12/04/06,S.C. Teletrans S.A.
81.161.0.0,81.161.15.255,4096,12/07/12,S.C. GVM SISTEM 2003 S.R.L.
81.180.0.0,81.181.255.255,131072,04/02/03,Institutul National de Cercetare-Dezvoltare in informatica - ICI Bucuresti
81.196.0.0,81.196.255.255,65536,15/08/02,RCS & RDS SA
82.76.0.0,82.79.255.255,262144,14/07/03,RCS & RDS SA
82.137.0.0,82.137.63.255,16384,04/07/03,RCS & RDS SA
82.208.128.0,82.208.191.255,16384,18/09/03,UPC Romania SRL
83.103.128.0,83.103.255.255,32768,08/03/04,UPC Romania SRL
83.166.192.0,83.166.223.255,8192,09/06/04,iNES GROUP SRL
84.232.128.0,84.232.255.255,32768,08/06/04,RCS & RDS SA
84.239.0.0,84.239.63.255,16384,04/08/11,SC TECHNOLOGICAL SRL
84.243.64.0,84.243.127.255,16384,09/07/04,ROMTelecom S.A.
84.247.64.0,84.247.127.255,16384,11/10/04,iNES GROUP SRL
