5.22.160.0,5.22.191.255,8192,03/05/12,Serbia BroadBand-Srpske Kablovske mreze d.o.o.
24.135.0.0,24.135.255.255,65536,03/05/12,Serbia BroadBand-Srpske Kablovske mreze d.o.o.
37.220.64.0,37.220.79.255,4096,03/04/12,Krajnalic Komunikacije d.o.o.
46.22.144.0,46.22.159.255,4096,29/11/10,Panet DOO Pancevo
46.40.0.0,46.40.63.255,16384,29/06/10,Sat-Trakt D.O.O.
46.240.128.0,46.240.255.255,32768,23/12/10,ABSOLUT SOLUTIONS d.o.o.
62.108.96.0,62.108.127.255,8192,04/09/01,DRUSTVO ZA TELEKOMUNIKACIJE VERAT DOO BEOGRAD (SAVSKI VENAC)
62.193.128.0,62.193.159.255,8192,21/08/00,BeotelNet-ISP d.o.o
62.240.0.0,62.240.31.255,8192,05/07/06,Madnet d.o.o.
77.46.128.0,77.46.255.255,32768,04/01/07,TELEKOM SRBIJA a.d.
77.105.0.0,77.105.63.255,16384,30/11/06,Orion Telekom Tim d.o.o.Beograd
77.243.16.0,77.243.31.255,4096,06/03/07,Vip mobile d.o.o.
78.30.128.0,78.30.191.255,16384,16/10/07,YUnet International d.o.o.
78.109.96.0,78.109.111.255,4096,05/07/07,Digi sat D.O.O
79.101.0.0,79.101.255.255,65536,12/11/07,TELEKOM SRBIJA a.d.
79.110.144.0,79.110.159.255,4096,07/02/12,
79.175.64.0,79.175.127.255,16384,12/11/07,Orion Telekom Tim d.o.o.Beograd
80.70.240.0,80.70.255.255,4096,10/01/05,Delta M d.o.o.
80.74.160.0,80.74.175.255,4096,04/04/03,Orion Telekom Tim d.o.o.Beograd
80.93.224.0,80.93.239.255,4096,26/09/01,ABSOLUT SOLUTIONS d.o.o.
80.93.240.0,80.93.255.255,4096,30/11/04,ABSOLUT SOLUTIONS d.o.o.
80.240.144.0,80.240.159.255,4096,29/08/06,GTECH Global Services Corporation Limited-ogranak Beograd,
81.18.48.0,81.18.63.255,4096,27/12/05,Orion Telekom Tim d.o.o.Beograd
82.117.192.0,82.117.223.255,8192,11/02/04,Serbia BroadBand-Srpske Kablovske mreze d.o.o.
82.208.192.0,82.208.255.255,16384,26/09/03,JP Posta Srbije Beograd
