2.60.0.0,2.63.255.255,262144,08/10/10,OJSC Rostelecom
2.92.0.0,2.95.255.255,262144,21/05/10,OJSC "Vimpelcom"
5.2.32.0,5.2.63.255,8192,27/04/12,UGMK-Telecom LLC
5.3.0.0,5.3.255.255,65536,27/04/12,Perspectiva Ltd.
5.8.0.0,5.8.63.255,16384,25/04/12,Petersburg Internet Network ltd.
5.8.64.0,5.8.95.255,8192,25/04/12,Petersburg Internet Network ltd.
5.8.160.0,5.8.175.255,4096,26/04/12,CJSC "Matrix Mobile"
5.8.192.0,5.8.223.255,8192,26/04/12,Closed Joint Stock Company TransTeleCom
5.8.224.0,5.8.239.255,4096,26/04/12,MTS OJSC
5.11.64.0,5.11.79.255,4096,02/05/12,TIS Dialog LLC
5.16.0.0,5.19.255.255,262144,27/04/12,Perspectiva Ltd.
5.28.16.0,5.28.31.255,4096,08/05/12,CJSC AIST
5.35.0.0,5.35.127.255,32768,11/05/12,LLC "Multiscan"
5.35.128.0,5.35.159.255,8192,11/05/12,Limited Liability Company Irtelcom
5.42.0.0,5.42.127.255,32768,16/05/12,CJSC Kolomna-Sviaz TV
5.43.128.0,5.43.159.255,8192,21/05/12,K Telecom Ltd.
5.44.0.0,5.44.15.255,4096,22/05/12,Closed Joint Stock Company Radiotelephone
5.44.48.0,5.44.63.255,4096,23/05/12,ZAO Prestige-Internet
5.45.64.0,5.45.95.255,8192,24/05/12,
5.45.192.0,5.45.255.255,16384,25/05/12,YANDEX LLC
5.53.16.0,5.53.31.255,4096,29/05/12,Metroset Ltd.
5.62.128.0,5.62.255.255,32768,11/06/12,CJSC Link Telecom
5.72.0.0,5.75.255.255,262144,11/06/12,CJSC Link Telecom
5.77.0.0,5.77.31.255,8192,12/06/12,LLC TOMTEL
5.79.128.0,5.79.255.255,32768,13/06/12,Intersvyaz-2 JSC
5.100.64.0,5.100.127.255,16384,25/06/12,Vladivostokskaya Set LTD
5.101.0.0,5.101.63.255,16384,26/06/12,Petersburg Internet Network ltd.
5.101.64.0,5.101.95.255,8192,26/06/12,Petersburg Internet Network ltd.
5.101.208.0,5.101.223.255,4096,26/06/12,Petersburg Internet Network ltd.
5.101.224.0,5.101.255.255,8192,26/06/12,LLC "Real-net"
5.128.0.0,5.131.255.255,262144,29/06/12,Novotelecom Ltd
5.136.0.0,5.143.255.255,524288,03/07/12,OJSC Rostelecom
5.144.64.0,5.144.79.255,4096,11/07/12,MTS OJSC
5.144.96.0,5.144.127.255,8192,11/07/12,MTS OJSC
5.145.192.0,5.145.255.255,16384,13/07/12,Smoltelecom Ltd
5.158.96.0,5.158.127.255,8192,26/07/12,Pride Limited company
5.159.96.0,5.159.111.255,4096,27/07/12,"Krasnoyarsk network" Ltd.
5.164.0.0,5.167.255.255,262144,25/07/12,CJSC "ER-Telecom Holding"
5.172.0.0,5.172.31.255,8192,30/07/12,INSYS JSC
5.175.96.0,5.175.127.255,8192,02/08/12,TVINGO Telecom Ltd.
5.187.64.0,5.187.95.255,8192,10/08/12,KVANT-TELEKOM Closed Joint Stock Company
5.188.0.0,5.188.255.255,65536,09/08/12,Petersburg Internet Network ltd.
5.189.0.0,5.189.127.255,32768,09/08/12,LLC "KomTehCentr"
5.189.192.0,5.189.255.255,16384,09/08/12,Petersburg Internet Network ltd.
5.199.192.0,5.199.223.255,8192,28/08/12,K Telecom Ltd.
5.200.32.0,5.200.63.255,8192,30/08/12,OOO IT-Grad
5.206.0.0,5.206.127.255,32768,03/09/12,Intersvyaz-2 JSC
