2.64.0.0,2.71.255.255,524288,31/05/10,Hi3G Access AB
2.248.0.0,2.255.255.255,524288,30/12/10,TeliaSonera AB
5.133.192.0,5.133.223.255,8192,05/07/12,Obenetwork AB
5.150.192.0,5.150.255.255,16384,18/07/12,Bahnhof Internet AB
5.240.0.0,5.243.255.255,262144,10/09/12,Tele2 Sverige AB
5.254.128.0,5.254.159.255,8192,14/09/12,Netalia AB
5.254.192.0,5.254.223.255,8192,14/09/12,Netett Sverige AB
31.15.32.0,31.15.63.255,8192,20/04/11,TDC Sverige AB
31.44.224.0,31.44.239.255,4096,08/03/11,VoiceTech Sweden AB
31.192.192.0,31.192.207.255,4096,21/04/11,
31.208.0.0,31.208.255.255,65536,02/05/11,Bredband2 AB
31.209.0.0,31.209.63.255,16384,02/05/11,Bredband2 AB
31.211.192.0,31.211.255.255,16384,05/05/11,Ownit Broadband AB
37.0.128.0,37.0.255.255,32768,08/12/11,Tele2 Sverige AB
37.2.0.0,37.3.255.255,131072,08/12/11,Tele2 Sverige AB
37.18.192.0,37.18.223.255,8192,20/12/11,Game-Hosting GH AB
37.46.112.0,37.46.127.255,4096,13/01/12,
37.46.160.0,37.46.191.255,8192,13/01/12,Ownit Broadband AB
37.49.240.0,37.49.255.255,4096,26/01/12,Zetup AB
37.123.128.0,37.123.191.255,16384,15/02/12,Bahnhof Internet AB
37.156.192.0,37.156.207.255,4096,13/03/12,SUNET/NORDUnet
37.196.0.0,37.199.255.255,262144,21/03/12,Tele2 Sverige AB
37.208.0.0,37.208.31.255,8192,28/03/12,Wekudata AB
37.233.64.0,37.233.79.255,4096,13/04/12,TDC Sverige AB
37.247.0.0,37.247.31.255,8192,17/04/12,Ownit Broadband AB
37.250.0.0,37.250.255.255,65536,18/04/12,Hi3G Access AB
46.21.96.0,46.21.111.255,4096,03/11/10,GleSYS Internet Services AB
46.22.112.0,46.22.127.255,4096,25/11/10,Axbyte AB
46.39.96.0,46.39.127.255,8192,13/12/10,Stockholms Stadsnat AB
46.46.192.0,46.46.255.255,16384,06/10/10,Netett Sverige AB
46.59.0.0,46.59.127.255,32768,19/10/10,Bahnhof Internet AB
46.162.64.0,46.162.127.255,16384,26/11/10,Bredband2 AB
46.194.0.0,46.195.255.255,131072,14/12/10,Telenor Sverige AB
46.230.128.0,46.230.255.255,32768,08/02/11,Netett Sverige AB
46.236.64.0,46.236.127.255,16384,21/12/10,Telecom3 Sverige AB
46.239.64.0,46.239.127.255,16384,15/02/11,Stiftelsen Goteborgs Studentbostader
46.246.0.0,46.246.127.255,32768,27/01/11,Portlane AB
46.252.0.0,46.252.15.255,4096,14/12/10,Fiberdata AB
46.253.192.0,46.253.207.255,4096,20/01/11,Adminor Aktiebolag
62.3.128.0,62.3.159.255,8192,05/10/00,Eds Sweden AB
62.5.0.0,62.5.127.255,32768,02/03/00,
62.13.0.0,62.13.127.255,32768,10/11/99,Telenor AB
62.20.0.0,62.20.255.255,65536,21/05/97,TeliaSonera AB
62.63.192.0,62.63.255.255,16384,10/06/05,Tyfon
62.65.0.0,62.65.31.255,8192,06/07/00,TDC Sverige AB
62.65.64.0,62.65.127.255,16384,11/06/01,Telenor AB
62.80.192.0,62.80.223.255,8192,12/10/01,Leissner Data AB
62.88.128.0,62.88.255.255,32768,18/12/00,Goteborgs Stad
62.95.0.0,62.95.127.255,32768,15/06/01,TDC Sverige AB
62.101.32.0,62.101.63.255,8192,29/11/02,Liden Data Internetwork AB
62.108.192.0,62.108.223.255,8192,29/06/00,Bollnas energi AB
62.109.32.0,62.109.63.255,8192,07/03/08,IP-Only Networks AB
62.116.224.0,62.116.255.255,8192,05/12/02,Gavle Energi AB
62.119.0.0,62.119.255.255,65536,09/11/00,Telenor AB
62.127.0.0,62.127.255.255,65536,04/10/02,Telenor Business Solutions AB
62.168.128.0,62.168.159.255,8192,29/06/00,Sandviken Energi AB
62.181.64.0,62.181.127.255,16384,17/10/01,Tele2 Sverige AB
62.181.192.0,62.181.255.255,16384,03/12/02,DGC Access AB
62.201.32.0,62.201.63.255,8192,05/05/03,Unilabs AB
62.209.160.0,62.209.191.255,8192,05/04/02,IP-Only Networks AB
62.220.160.0,62.220.191.255,8192,20/05/03,Bredband2 AB
62.247.0.0,62.247.255.255,65536,13/09/01,Verizon Sweden AB
77.53.0.0,77.53.255.255,65536,24/01/07,AllTele Allmanna Svenska Telefonaktiebolaget
77.80.128.0,77.80.255.255,32768,15/01/10,
77.105.192.0,77.105.255.255,16384,07/12/06,Net at Once Sweden AB
77.107.0.0,77.107.63.255,16384,18/12/06,Obduro Network AB
77.110.0.0,77.110.63.255,16384,29/01/07,Ratt Internet Kapacitet i Sverige AB
77.216.0.0,77.219.255.255,262144,09/02/07,Tele2 Sverige AB
77.235.224.0,77.235.255.255,8192,24/01/07,Swedish University of Agricultural Sciences
77.238.32.0,77.238.63.255,8192,13/02/07,SUNET/NORDUnet
77.240.64.0,77.240.79.255,4096,12/01/07,Olofstroms Kabel-TV AB
77.240.208.0,77.240.223.255,4096,18/01/07,Bahnhof Internet AB
77.241.128.0,77.241.143.255,4096,07/02/07,Hi3G Access AB
77.243.144.0,77.243.159.255,4096,14/03/07,Ljungby Energi AB
77.244.0.0,77.244.15.255,4096,21/03/07,Lyssna & Njut Radio & TV AB
77.244.224.0,77.244.239.255,4096,05/04/07,Insat Net AB
78.64.0.0,78.79.255.255,1048576,09/03/07,TeliaSonera AB
78.82.0.0,78.82.255.255,65536,10/04/07,Telenor Business Solutions AB
78.108.0.0,78.108.15.255,4096,11/06/07,AB Svenska Spel
78.108.48.0,78.108.63.255,4096,12/06/07,Teknikbyran i Sverige AB
78.110.80.0,78.110.95.255,4096,07/08/07,Sundsvall Energi Elnat AB, ServaNet
78.153.224.0,78.153.255.255,8192,11/07/07,
78.156.192.0,78.156.223.255,8192,22/08/07,Hi3G Access AB
79.102.0.0,79.102.255.255,65536,13/11/07,Telenor Sverige AB
79.136.0.0,79.136.127.255,32768,27/09/07,Bahnhof Internet AB
