1.32.128.0,1.32.191.255,16384,05/04/11,
14.100.0.0,14.100.255.255,65536,16/08/10,
27.34.176.0,27.34.191.255,4096,30/03/10,
27.54.0.0,27.54.63.255,16384,17/03/10,
27.96.96.0,27.96.127.255,8192,19/05/10,
27.104.0.0,27.104.255.255,65536,28/05/10,
27.111.208.0,27.111.223.255,4096,29/06/10,
27.111.224.0,27.111.239.255,4096,29/06/10,
27.114.192.0,27.114.255.255,16384,12/07/10,
27.125.128.0,27.125.191.255,16384,12/10/10,
39.109.128.0,39.109.255.255,32768,05/04/11,
40.72.0.0,40.73.255.255,131072,23/02/15,
40.125.128.0,40.125.255.255,32768,23/02/15,
40.126.64.0,40.126.127.255,16384,23/02/15,
42.60.0.0,42.61.255.255,131072,18/02/11,
49.128.32.0,49.128.63.255,8192,01/11/10,
49.213.16.0,49.213.31.255,4096,09/12/10,
49.245.0.0,49.245.255.255,65536,11/11/10,
58.65.0.0,58.65.31.255,8192,17/03/05,
58.146.128.0,58.146.191.255,16384,15/06/05,
58.182.0.0,58.182.255.255,65536,15/06/05,
58.185.0.0,58.185.127.255,32768,30/06/05,
58.185.128.0,58.185.255.255,32768,11/01/06,
59.189.0.0,59.189.255.255,65536,15/12/04,
61.8.192.0,61.8.223.255,8192,04/04/02,
61.8.224.0,61.8.255.255,8192,07/02/00,
61.13.0.0,61.13.127.255,32768,09/03/00,
61.13.128.0,61.13.255.255,32768,07/07/00,
61.14.64.0,61.14.95.255,8192,14/05/02,
61.16.0.0,61.16.127.255,32768,08/11/00,
96.9.128.0,96.9.191.255,16384,24/07/08,
101.78.64.0,101.78.127.255,16384,18/02/11,
101.100.160.0,101.100.191.255,8192,22/12/10,
101.100.192.0,101.100.255.255,16384,22/12/10,
101.127.0.0,101.127.255.255,65536,08/04/11,
101.234.0.0,101.234.63.255,16384,09/03/11,
106.10.128.0,106.10.255.255,32768,28/03/11,
110.92.96.0,110.92.127.255,8192,16/04/09,
111.65.0.0,111.65.127.255,32768,26/05/09,
111.90.192.0,111.90.255.255,16384,18/06/09,
111.92.192.0,111.92.223.255,8192,25/06/09,
