5.178.48.0,5.178.63.255,4096,06/08/12,Orange Slovensko a.s.
31.3.32.0,31.3.63.255,8192,06/04/11,O2 Slovakia, s.r.o.
31.131.224.0,31.131.239.255,4096,09/06/11,
31.170.64.0,31.170.95.255,8192,30/03/11,TESATEL, s.r.o.
37.58.0.0,37.58.15.255,4096,16/01/12,O2 Slovakia, s.r.o.
37.61.160.0,37.61.175.255,4096,20/01/12,KOREX networks, s.r.o.
37.152.96.0,37.152.127.255,8192,12/03/12,O2 Slovakia, s.r.o.
46.34.224.0,46.34.255.255,8192,06/10/10,O2 Slovakia, s.r.o.
46.150.192.0,46.150.223.255,8192,15/11/10,
46.228.208.0,46.228.223.255,4096,08/02/11,DataNetworks s.r.o.
46.229.224.0,46.229.239.255,4096,21/02/11,VNET a.s.
62.65.160.0,62.65.191.255,8192,25/01/02,SWAN a.s.
62.152.224.0,62.152.255.255,8192,06/02/03,SWAN a.s.
62.168.64.0,62.168.127.255,16384,07/05/97,BENESTRA, s.r.o.
62.169.160.0,62.169.191.255,8192,11/03/02,ARTOS a.s.
62.176.160.0,62.176.191.255,8192,10/04/03,ACS Ltd.
62.197.192.0,62.197.255.255,16384,22/07/02,SWAN a.s.
77.234.224.0,77.234.255.255,8192,12/01/07,DSi DATA s.r.o.
78.98.0.0,78.99.255.255,131072,02/05/07,Slovak Telecom, a. s.
78.141.64.0,78.141.127.255,16384,13/07/07,Orange Slovensko a.s.
80.81.224.0,80.81.239.255,4096,24/07/01,S.A. NET
80.86.240.0,80.86.255.255,4096,12/02/10,LightStorm Communications s.r.o.
80.87.208.0,80.87.223.255,4096,23/05/05,DSi DATA s.r.o.
80.94.48.0,80.94.63.255,4096,29/07/05,Trestel SK, a.s.
80.242.32.0,80.242.47.255,4096,10/12/07,ARTOS a.s.
80.250.240.0,80.250.255.255,4096,14/11/05,BENESTRA, s.r.o.
81.88.128.0,81.88.143.255,4096,14/06/02,BENESTRA, s.r.o.
81.89.48.0,81.89.63.255,4096,12/04/06,VNET a.s.
81.162.80.0,81.162.95.255,4096,07/12/11,
82.119.96.0,82.119.127.255,8192,16/02/04,UPC Slovensko s.r.o
82.119.224.0,82.119.239.255,4096,18/02/04,BENESTRA, s.r.o.
83.168.128.0,83.168.191.255,16384,06/04/04,SWAN a.s.
84.16.32.0,84.16.63.255,8192,08/07/04,Slovanet a.s.
84.47.0.0,84.47.127.255,32768,12/10/04,Slovak Telecom, a. s.
84.245.64.0,84.245.127.255,16384,16/03/05,SWAN a.s.
85.135.128.0,85.135.255.255,32768,16/12/04,Slovanet a.s.
85.216.128.0,85.216.255.255,32768,14/01/05,UPC Slovensko s.r.o
85.237.224.0,85.237.255.255,8192,27/05/05,Orange Slovensko a.s.
85.248.0.0,85.248.255.255,65536,20/01/05,BENESTRA, s.r.o.
86.110.224.0,86.110.255.255,8192,04/08/05,VNET a.s.
87.197.0.0,87.197.255.255,65536,29/06/05,Slovak Telecom, a. s.
87.244.192.0,87.244.255.255,16384,19/08/05,ENERGOTEL a.s.
88.80.224.0,88.80.255.255,8192,02/12/05,SATRO s.r.o.
88.212.0.0,88.212.63.255,16384,08/12/05,ANTIK Telecom s.r.o
89.173.0.0,89.173.255.255,65536,24/03/06,UPC Slovensko s.r.o
91.127.0.0,91.127.255.255,65536,24/10/06,Slovak Telecom, a. s.
91.148.0.0,91.148.63.255,16384,09/11/06,MARTICO s.r.o.
91.191.64.0,91.191.127.255,16384,27/12/06,O2 Slovakia, s.r.o.
92.52.0.0,92.52.63.255,16384,17/01/08,Orange Slovensko a.s.
