5.0.0.0,5.0.255.255,65536,23/04/12,Syrian Telecom
5.134.224.0,5.134.255.255,8192,10/07/12,Sama Group Ltd.
31.9.0.0,31.9.255.255,65536,13/04/11,Syrian Telecom
31.193.64.0,31.193.79.255,4096,27/04/11,"Omniya" LLC
37.48.128.0,37.48.191.255,16384,24/01/12,MTN Syria
37.48.192.0,37.48.223.255,8192,24/01/12,MTN Syria
46.53.0.0,46.53.127.255,32768,20/08/10,sawa
46.57.128.0,46.57.255.255,32768,11/10/10,Syriatel Mobile Telecom
46.58.128.0,46.58.255.255,32768,18/10/10,MTN Syria
46.161.192.0,46.161.255.255,16384,22/11/10,Roya telecommunication Co.Ltd.
46.213.0.0,46.213.255.255,65536,20/12/10,Syriatel Mobile Telecom
77.44.128.0,77.44.255.255,32768,20/12/06,Syrian Computer Society, scs
78.110.96.0,78.110.111.255,4096,08/08/07,sawa
78.155.64.0,78.155.95.255,8192,30/07/07,Syriatech
82.137.192.0,82.137.255.255,16384,10/07/03,Syrian Telecom
88.86.0.0,88.86.31.255,8192,13/02/06,Syrian Computer Society, scs
90.153.128.0,90.153.255.255,32768,07/11/06,AYA Internet Service Provider
91.144.0.0,91.144.63.255,16384,19/09/06,Syrian Telecom
94.141.192.0,94.141.223.255,8192,15/12/08,sawa
94.252.128.0,94.252.255.255,32768,30/09/08,Syriatel Mobile Telecom
95.140.96.0,95.140.111.255,4096,04/03/09,ABDStar and Bisher Alkassem
95.159.0.0,95.159.63.255,16384,08/04/09,RUNNET
109.238.144.0,109.238.159.255,4096,26/01/10,Charif, Fakir & Co.
130.0.240.0,130.0.255.255,4096,21/10/11,MTN Syria
130.180.128.0,130.180.191.255,16384,21/10/11,MTN Syria
178.52.0.0,178.52.255.255,65536,30/12/09,Syriatel Mobile Telecom
178.171.128.0,178.171.255.255,32768,12/04/10,MTN Syria
178.253.64.0,178.253.127.255,16384,01/06/10,Syrian Telecom
188.139.128.0,188.139.255.255,32768,20/05/09,Syriatel Mobile Telecom
188.160.0.0,188.160.255.255,65536,13/05/09,MTN Syria
188.229.128.0,188.229.255.255,32768,07/01/11,MTN Syria
188.247.0.0,188.247.31.255,8192,24/08/09,Roya telecommunication Co.Ltd.
212.11.192.0,212.11.223.255,8192,22/05/08,Charif, Fakir & Co.
213.178.224.0,213.178.255.255,8192,03/03/03,Syrian Computer Society, scs
217.20.208.0,217.20.223.255,4096,07/06/10,ABDStar and Bisher Alkassem

