5.11.128.0,5.11.255.255,32768,02/05/12,Turkcell Iletisim Hizmetleri A.S
5.24.0.0,5.27.255.255,262144,02/05/12,Turkcell Iletisim Hizmetleri A.S
5.44.80.0,5.44.95.255,4096,23/05/12,AVEA Iletisim Hizmetleri A.S.
5.44.144.0,5.44.159.255,4096,23/05/12,NOC BILISIM LIMITED SIRKETI
5.46.0.0,5.47.255.255,131072,23/05/12,AVEA Iletisim Hizmetleri A.S.
5.63.32.0,5.63.63.255,8192,11/06/12,Netway Broadband LTD
5.104.0.0,5.104.15.255,4096,28/06/12,KIBRIS MOBILE TELEKOMUNIKASYON LTD.
5.176.0.0,5.177.255.255,131072,02/08/12,AVEA Iletisim Hizmetleri A.S.
5.226.192.0,5.226.255.255,16384,10/09/12,Vodafone Telekomunikasyon A.S.
5.229.0.0,5.229.255.255,65536,10/09/12,Vodafone Telekomunikasyon A.S.
5.250.240.0,5.250.255.255,4096,14/09/12,Erhan Mahmut trading as "Aysima Bilisim Teknolojileri Erhan Mahmut"
5.255.0.0,5.255.63.255,16384,14/09/12,INTER NET BILGISAYAR TURIZM TIC LTD STI
24.133.0.0,24.133.255.255,65536,08/03/12,Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.
31.6.80.0,31.6.95.255,4096,11/04/11,Grid Bilisim Teknolojileri A.S.
31.44.192.0,31.44.207.255,4096,07/03/11,Metronet Iletisim Teknoloji A.S.
31.140.0.0,31.143.255.255,262144,04/03/11,Turkcell Iletisim Hizmetleri A.S
31.145.0.0,31.145.255.255,65536,09/02/11,VODAFONE NET ILETISIM HIZMETLERI ANONIM SIRKETI
31.155.0.0,31.155.255.255,65536,04/03/11,VODAFONE NET ILETISIM HIZMETLERI ANONIM SIRKETI
31.169.64.0,31.169.95.255,8192,28/03/11,NETFACTOR TELEKOMINIKASYON VE TEKNOLOJI HIZMETLERI SANAYI VE JSC
31.176.0.0,31.176.127.255,32768,04/03/11,Turkcell Iletisim Hizmetleri A.S
31.177.128.0,31.177.255.255,32768,14/03/11,Vodafone Telekomunikasyon A.S.
