64.28.128.0,64.28.143.255,4096,11/01/00,
161.0.224.0,161.0.255.255,8192,04/04/14,
181.188.0.0,181.188.127.255,32768,15/05/12,
186.44.0.0,186.45.255.255,131072,15/07/09,
190.6.224.0,190.6.239.255,4096,12/02/07,
190.58.0.0,190.58.255.255,65536,11/04/06,
190.59.0.0,190.59.255.255,65536,24/09/07,
190.83.128.0,190.83.255.255,32768,21/01/11,
190.93.0.0,190.93.31.255,8192,23/03/07,
190.93.64.0,190.93.127.255,16384,22/10/08,
190.97.96.0,190.97.111.255,4096,05/12/07,
190.213.0.0,190.213.63.255,16384,26/09/07,
190.213.64.0,190.213.127.255,16384,07/01/09,
190.213.128.0,190.213.255.255,32768,16/03/09,
196.29.64.0,196.29.95.255,8192,20/05/96,
196.32.32.0,196.32.63.255,8192,06/11/95,
200.108.0.0,200.108.15.255,4096,04/07/03,
200.108.16.0,200.108.31.255,4096,25/02/04,
201.221.64.0,201.221.79.255,4096,03/04/06,
201.221.80.0,201.221.95.255,4096,23/03/07,
201.238.64.0,201.238.127.255,16384,09/02/05,
209.94.192.0,209.94.223.255,8192,15/07/97,

