5.1.0.0,5.1.31.255,8192,24/04/12,PRIVATE JOINT STOCK COMPANY "DATAGROUP"
5.58.0.0,5.58.255.255,65536,01/06/12,Lanet Network Ltd
5.104.32.0,5.104.63.255,8192,28/06/12,TRK Metro LLC
5.105.0.0,5.105.255.255,65536,28/06/12,Cifrovye Dispetcherskie Sistemy
5.149.208.0,5.149.223.255,4096,17/07/12,Lancom Ltd.
5.153.128.0,5.153.191.255,16384,20/07/12,LLC "FTICOM"
5.207.0.0,5.207.255.255,65536,05/09/12,PrJSC "MTS UKRAINE"
5.248.0.0,5.248.255.255,65536,12/09/12,"Kyivstar" PJSC
5.255.160.0,5.255.175.255,4096,14/09/12,MAXNET TELECOM, LTD
5.255.176.0,5.255.191.255,4096,14/09/12,Satellite Ltd
31.3.192.0,31.3.207.255,4096,08/04/11,Teleradio Company Kraevid LTD
31.6.96.0,31.6.127.255,8192,11/04/11,TRK Metro LLC
31.12.128.0,31.12.255.255,32768,15/04/11,PrJSC "MTS UKRAINE"
31.28.160.0,31.28.191.255,8192,28/02/11,Colocall Ltd.
31.28.224.0,31.28.255.255,8192,01/03/11,Lancom Ltd.
31.31.96.0,31.31.127.255,8192,18/03/11,TeNeT Scientific Production Enterprise LLC
31.40.128.0,31.40.191.255,16384,06/04/11,
31.42.48.0,31.42.63.255,4096,11/03/11,
31.42.64.0,31.42.79.255,4096,17/03/11,
31.42.112.0,31.42.127.255,4096,28/03/11,
31.42.160.0,31.42.191.255,8192,23/02/11,
31.43.0.0,31.43.31.255,8192,23/02/11,
31.43.32.0,31.43.63.255,8192,24/02/11,
31.43.64.0,31.43.95.255,8192,24/02/11,
31.43.96.0,31.43.127.255,8192,28/02/11,
31.43.128.0,31.43.159.255,8192,01/03/11,
31.43.160.0,31.43.191.255,8192,01/03/11,
31.43.224.0,31.43.255.255,8192,02/03/11,
31.128.64.0,31.128.95.255,8192,02/03/11,
31.128.96.0,31.128.127.255,8192,03/03/11,
31.128.160.0,31.128.191.255,8192,07/03/11,
31.128.224.0,31.128.255.255,8192,11/03/11,
31.129.64.0,31.129.95.255,8192,18/03/11,
31.129.96.0,31.129.127.255,8192,22/03/11,
31.129.160.0,31.129.191.255,8192,29/03/11,
31.129.224.0,31.129.255.255,8192,01/04/11,
31.131.16.0,31.131.31.255,4096,27/05/11,
31.131.64.0,31.131.79.255,4096,01/06/11,
31.131.96.0,31.131.127.255,8192,01/06/11,
31.131.128.0,31.131.143.255,4096,06/06/11,
31.133.32.0,31.133.63.255,8192,15/04/11,
31.133.64.0,31.133.79.255,4096,18/04/11,
31.133.80.0,31.133.95.255,4096,18/04/11,
31.134.64.0,31.134.95.255,8192,19/04/11,
31.135.128.0,31.135.159.255,8192,27/06/11,
31.144.0.0,31.144.255.255,65536,07/02/11,PrJSC "MTS UKRAINE"
31.170.128.0,31.170.159.255,8192,30/03/11,PE Kotova Alina Volodymyrivna
31.193.80.0,31.193.95.255,4096,27/04/11,"Tvoi Net" Ltd.
31.202.0.0,31.202.255.255,65536,29/04/11,MAXNET TELECOM, LTD
37.1.192.0,37.1.223.255,8192,13/12/11,
37.19.128.0,37.19.255.255,32768,21/12/11,Intertelecom Ltd
37.25.0.0,37.25.31.255,8192,23/12/11,PJSC "Belcom"
37.25.96.0,37.25.127.255,8192,27/12/11,WildPark Co
37.46.224.0,37.46.255.255,8192,13/01/12,CONTENT DELIVERY NETWORK LTD
37.52.0.0,37.55.255.255,262144,24/01/12,JSC "Ukrtelecom"
37.57.0.0,37.57.255.255,65536,13/01/12,CONTENT DELIVERY NETWORK LTD
37.73.0.0,37.73.255.255,65536,27/01/12,Limited Liability Company "Astelit"
37.115.0.0,37.115.255.255,65536,10/02/12,"Kyivstar" PJSC
37.139.96.0,37.139.111.255,4096,27/02/12,Lancom Ltd.
37.139.160.0,37.139.191.255,8192,29/02/12,LLC "McLaut-Invest"
37.203.0.0,37.203.31.255,8192,23/03/12,TeNeT Scientific Production Enterprise LLC
37.221.128.0,37.221.159.255,8192,05/04/12,AB Ukraine Center LLC
37.229.0.0,37.229.255.255,65536,10/04/12,"Kyivstar" PJSC
46.33.32.0,46.33.63.255,8192,20/08/10,LLC Renome-Service
46.33.224.0,46.33.255.255,8192,15/09/10,WildPark Co
46.35.224.0,46.35.255.255,8192,22/10/10,Lancom Ltd.
46.37.192.0,46.37.223.255,8192,19/11/10,ICN Ltd.
46.39.64.0,46.39.95.255,8192,13/12/10,Satellite Ltd
46.46.64.0,46.46.127.255,16384,22/09/10,TOV "Flagman Telecom"
46.63.0.0,46.63.127.255,32768,02/11/10,"X-City" Ltd.
46.96.0.0,46.96.255.255,65536,10/09/12,Limited Liability Company "Astelit"
46.98.0.0,46.98.255.255,65536,03/06/10,ISP "Fregat" Ltd.
46.118.0.0,46.119.255.255,131072,17/05/10,Golden Telecom LLC
46.133.0.0,46.133.255.255,65536,25/10/10,PrJSC "MTS UKRAINE"
46.148.16.0,46.148.31.255,4096,02/11/10,
46.148.112.0,46.148.127.255,4096,10/11/10,
46.148.176.0,46.148.191.255,4096,23/11/10,
46.149.48.0,46.149.63.255,4096,09/12/10,
46.149.80.0,46.149.95.255,4096,21/12/10,
46.149.96.0,46.149.111.255,4096,21/12/10,
46.149.160.0,46.149.175.255,4096,28/12/10,
46.149.176.0,46.149.191.255,4096,06/01/11,
46.150.0.0,46.150.31.255,8192,27/10/10,
46.150.64.0,46.150.95.255,8192,04/11/10,
46.150.96.0,46.150.127.255,8192,08/11/10,
46.160.64.0,46.160.127.255,16384,04/11/10,MAXNET TELECOM, LTD
46.162.0.0,46.162.63.255,16384,24/11/10,Interphone Ltd.
46.164.128.0,46.164.191.255,16384,09/12/10,PRIVATE JOINT STOCK COMPANY "DATAGROUP"
46.172.64.0,46.172.95.255,8192,06/12/10,
46.172.128.0,46.172.159.255,8192,13/12/10,
46.172.192.0,46.172.223.255,8192,27/12/10,
46.172.224.0,46.172.255.255,8192,04/01/11,
46.173.64.0,46.173.95.255,8192,03/02/11,
46.173.96.0,46.173.127.255,8192,03/02/11,
46.173.128.0,46.173.159.255,8192,07/02/11,
46.173.160.0,46.173.175.255,4096,17/01/11,
46.175.64.0,46.175.87.255,6144,08/02/11,
46.175.240.0,46.175.255.255,4096,14/02/11,
46.185.0.0,46.185.127.255,32768,10/11/10,"Kyivstar" PJSC
