62.209.128.0,62.209.159.255,8192,07/04/08,TEXNOPROSISTEM
77.220.192.0,77.220.223.255,8192,23/03/07,OOO "Net City"
80.80.208.0,80.80.223.255,4096,23/03/05,TEXNOPROSISTEM
81.95.224.0,81.95.239.255,4096,10/09/02,Sarkor-Telecom
82.215.64.0,82.215.127.255,16384,17/11/03,UNITECH
83.69.128.0,83.69.159.255,8192,27/05/04,UZSCINET
84.54.64.0,84.54.127.255,16384,10/11/04,"Uzbektelecom" Joint-Stock Company
89.146.64.0,89.146.127.255,16384,03/02/06,Sarkor-Telecom
89.236.192.0,89.236.255.255,16384,20/06/06,TEXNOPROSISTEM
91.188.128.0,91.188.159.255,8192,05/12/06,ISP "Ars-Inform"
94.141.64.0,94.141.95.255,8192,09/12/08,Super iMAX
94.158.48.0,94.158.63.255,4096,23/09/08,
94.230.224.0,94.230.239.255,4096,30/01/09,BUZTON J.V.
109.207.240.0,109.207.255.255,4096,15/03/10,
188.113.192.0,188.113.255.255,16384,06/05/09,Foreign Enterprise COSCOM Liability Limited Company
195.158.0.0,195.158.31.255,8192,29/08/96,"Uzbektelekom" Joint Stock Company
213.206.32.0,213.206.63.255,8192,26/03/03,BUZTON J.V.
213.230.64.0,213.230.127.255,16384,31/01/08,"Uzbektelekom" Joint Stock Company
217.12.80.0,217.12.95.255,4096,06/11/02,Amaliy Aloqalar Biznesi Ltd.
217.29.112.0,217.29.127.255,4096,19/05/03,Sharq Telekom CJSC
217.30.160.0,217.30.175.255,4096,09/12/09,East Telecom

